,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"11/581,900",,,37968370,A47K 13/26 (20130101); A47K 13/12 (20130101); A47K 13/04 (20130101),"October 17, 2006","January 3, 2012","8,087,103",#8087103,True
1,,"12/483,461","Tokyo, JP","Honda Motor Co., Ltd.",41417475,F02M 35/0203 (20130101); F02M 35/024 (20130101); Y10T 29/49618 (20150115); Y10T 29/4973 (20150115); Y10T 29/53 (20150115),"June 12, 2009","January 3, 2012","8,087,139",#8087139,True
2,,"11/941,111","Cromwell, CT","Capewell Components Company, LLC",45374490,H01R 43/0425 (20130101); H01R 9/05 (20130101); Y10T 29/53226 (20150115); Y10T 29/53257 (20150115); Y10T 29/53235 (20150115),"November 16, 2007","January 3, 2012","8,087,160",#8087160,True
3,,"11/495,796","Schenectady, NY",General Electric Company,38984673,D06F 58/04 (20130101); D06F 58/00 (20130101),"July 28, 2006","January 3, 2012","8,087,184",#8087184,True
4,,"12/411,610","Tuscon, AZ","Abrams Airborne Manufacturing, Inc.",42782382,F41C 23/04 (20130101); F41C 23/20 (20130101); F41C 23/14 (20130101); Y10T 29/49826 (20150115),"March 26, 2009","January 3, 2012","8,087,193",#8087193,True
5,,"12/068,493","Kariya, Aichi-Pref., JP",Denso Corporation,39705478,F01N 3/101 (20130101); F01N 11/007 (20130101); F02D 41/1456 (20130101); F02D 41/1441 (20130101); F01N 2550/02 (20130101); F01N 2560/025 (20130101); F01N 2560/14 (20130101); F02D 41/025 (20130101); Y02T 10/22 (20130101); F02D 41/1474 (20130101); F02D 41/1495 (20130101); F02D 41/22 (20130101); F02D 41/2454 (20130101); Y02T 10/47 (20130101),"February 7, 2008","January 3, 2012","8,087,231",#8087231,True
6,,"12/560,932","Chia-Yi, TW","Tong Lung Metal Industry Co., Ltd.",42006024,E05B 3/003 (20130101); E05B 13/108 (20130101); Y10T 292/865 (20150401); Y10T 70/80 (20150401); Y10T 70/5832 (20150401); Y10T 292/82 (20150401),"September 16, 2009","January 3, 2012","8,087,273",#8087273,True
7,,"12/786,337","Houston, TX","Pipe Wrap, LLC",43123764,F16L 3/02 (20130101); F16L 57/06 (20130101); F16L 55/168 (20130101),"May 24, 2010","January 3, 2012","8,087,431",#8087431,True
8,,"12/903,793",Heidelberg GmbH,TI Automotive Engineering Centre,41404203,F01N 1/023 (20130101); F01N 1/026 (20130101); F01N 2490/20 (20130101); F01N 2490/155 (20130101),"October 13, 2010","January 3, 2012","8,087,493",#8087493,True
9,,"12/257,252","Minneapolis, MN","Target Brands, Inc.",41378476,A47F 5/0025 (20130101); A47F 5/10 (20130101); A47F 7/00 (20130101); A47F 5/16 (20130101); Y10T 29/49826 (20150115),"October 23, 2008","January 3, 2012","8,087,522",#8087522,True
10,,"11/919,583","Nagano, JP","Wintec Co., Ltd.",39106605,B65G 51/02 (20130101); B65H 5/228 (20130101); B65G 2201/022 (20130101); B65H 2701/1912 (20130101); B65H 2301/51212 (20130101); B65H 2301/51256 (20130101),"July 18, 2007","January 3, 2012","8,087,669",#8087669,True
11,,"12/105,541","Southfield, MI","Fluid Routing Solutions, Inc.",39714275,F16L 33/08 (20130101); Y10T 24/1441 (20150115); Y10T 24/1433 (20150115); Y10T 24/1427 (20150115); Y10T 24/33 (20150115),"April 18, 2008","January 3, 2012","8,087,699",#8087699,True
12,,"12/405,512",,,45374539,B65G 59/005 (20130101); B65G 61/00 (20130101); B65G 60/00 (20130101),"March 17, 2009","January 3, 2012","8,087,869",#8087869,True
13,,"12/410,720","Tokyo, JP",Ebara Corporation,40521951,F04D 17/168 (20130101); F04D 19/042 (20130101); F04D 29/0513 (20130101); F16C 39/06 (20130101); F16C 17/045 (20130101); F04D 29/28 (20130101); F16C 2360/45 (20130101),"March 25, 2009","January 3, 2012","8,087,907",#8087907,True
