,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"05/851,785",,25311675,A42B 3/105 (20130101),"November 15, 1977","January 1, 1980","4,180,868",#4180868,True
1,,"05/855,370",,25321075,A61F 2/66 (20130101),"November 28, 1977","January 1, 1980","4,180,872",#4180872,True
2,,"05/800,694",Fram Corporation,25179122,B60S 1/3801 (20130101); B60S 1/4006 (20130101); B60S 1/4019 (20130101); B60S 1/4087 (20130101); B60S 2001/3815 (20130101),"May 26, 1977","January 1, 1980","4,180,885",#4180885,True
3,,"05/928,915",,6015371,B60S 1/524 (20130101),"July 28, 1978","January 1, 1980","4,180,886",#4180886,True
4,,"05/944,742",,25481987,A61C 7/12 (20130101); A61C 7/148 (20130101),"September 22, 1978","January 1, 1980","4,180,912",#4180912,True
5,,"05/939,391","Textron, Inc.",25473101,A47F 7/021 (20130101),"September 5, 1978","January 1, 1980","4,180,921",#4180921,True
6,,"05/908,344","Brooks Shoe Manufacturing Co., Inc.",25425631,A43B 5/06 (20130101); A43C 15/09 (20130101); A43B 7/16 (20130101),"May 22, 1978","January 1, 1980","4,180,924",#4180924,True
7,,"05/874,725",Caterpillar Tractor Co.,25364422,E02F 9/2833 (20130101),"February 3, 1978","January 1, 1980","4,180,926",#4180926,True
8,,"05/828,486",Massachusetts Institute of Technology,25251946,A01K 73/045 (20130101),"August 29, 1977","January 1, 1980","4,180,935",#4180935,True
9,,"05/911,436",,25430232,A01M 23/34 (20130101); A01M 23/38 (20130101),"June 1, 1978","January 1, 1980","4,180,937",#4180937,True
10,,"05/929,672",,25458262,E06B 3/28 (20130101); E06B 3/925 (20130101),"July 31, 1978","January 1, 1980","4,180,942",#4180942,True
11,,"05/855,781",,25322046,E04D 1/34 (20130101); E04D 13/12 (20130101); E04D 15/00 (20130101); E04D 2001/3426 (20130101); E04D 2001/3438 (20130101); E04D 2001/3467 (20130101); E04D 2001/3497 (20130101),"November 25, 1977","January 1, 1980","4,180,958",#4180958,True
12,,"05/903,721",Aluminum Company of America,27114986,B65D 43/0212 (20130101); B67B 5/00 (20130101); B29C 65/3644 (20130101); B29C 65/368 (20130101); B29C 65/58 (20130101); B29C 65/72 (20130101); B29C 66/542 (20130101); B29C 66/7465 (20130101); B29C 66/836 (20130101); B65D 51/20 (20130101); B29C 66/12461 (20130101); B29C 65/3668 (20130101); B29C 66/72328 (20130101); B65D 2251/0015 (20130101); B65D 2251/0018 (20130101); B65D 2251/0093 (20130101); B65D 2543/00092 (20130101); B65D 2543/00296 (20130101); B65D 2543/00527 (20130101); B65D 2543/00537 (20130101); B65D 2543/00629 (20130101); B65D 2543/00685 (20130101); B65D 2543/0074 (20130101); B65D 2543/00796 (20130101); B65D 2543/00842 (20130101); B29C 66/71 (20130101); B29C 66/72321 (20130101); B29C 66/7234 (20130101); B29C 66/71 (20130101); B29K 2023/06 (20130101); B29C 66/71 (20130101); B29K 2023/12 (20130101),"May 8, 1978","January 1, 1980","4,180,961",#4180961,True
13,,"05/946,919",Pietro Laverda S.p.A.,11283811,A01D 41/141 (20130101); Y10S 56/15 (20130101),"September 28, 1978","January 1, 1980","4,180,966",#4180966,True
14,,"05/895,178",Alsthom-Atlantique,9189278,F02F 11/00 (20130101); F02G 1/04 (20130101),"April 10, 1978","January 1, 1980","4,180,983",#4180983,True
15,,"05/888,140",,25392606,F25B 13/00 (20130101); F25B 43/003 (20130101),"March 20, 1978","January 1, 1980","4,180,988",#4180988,True
16,,"05/860,094",,3612015,D06F 47/00 (20130101); B30B 9/22 (20130101),"December 13, 1977","January 1, 1980","4,180,995",#4180995,True
17,,"05/839,243",Rockwell International Corporation,25279223,B21D 26/055 (20130101),"October 4, 1977","January 1, 1980","4,181,000",#4181000,True
18,,"05/920,203",,27356293,B23D 63/005 (20130101); B23D 63/12 (20130101); B23D 63/20 (20130101),"June 29, 1978","January 1, 1980","4,181,045",#4181045,True
19,,"05/877,662",,25370448,A47J 37/1295 (20130101),"February 14, 1978","January 1, 1980","4,181,073",#4181073,True
20,,"05/925,922",,25452435,G06G 1/0068 (20130101),"August 23, 1978","January 1, 1980","4,181,090",#4181090,True
21,,"05/887,001",,25390247,A01K 1/0121 (20130101); A47K 11/00 (20130101); A47K 13/06 (20130101),"March 16, 1978","January 1, 1980","4,181,096",#4181096,True
22,,"05/810,873",Toyota Jidosha Kogyo Kabushiki Kaisha,12250384,F02D 31/004 (20130101); F02M 3/07 (20130101),"June 28, 1977","January 1, 1980","4,181,104",#4181104,True
23,,"05/914,201",Robertshaw Controls Company,27100787,F02P 5/142 (20130101); G05D 23/185 (20130101),"June 12, 1978","January 1, 1980","4,181,106",#4181106,True
24,,"05/871,751",,25358048,A62B 7/06 (20130101); B63C 11/22 (20130101); F17C 2221/011 (20130101); F17C 2221/014 (20130101); F17C 2265/025 (20130101); F17C 2270/0781 (20130101),"January 23, 1978","January 1, 1980","4,181,126",#4181126,True
25,,"05/955,663",,27126080,C10M 173/02 (20130101); C10M 2201/02 (20130101); C10M 2207/022 (20130101); C10M 2209/104 (20130101); C10M 2209/105 (20130101); C10N 2240/402 (20130101); C10N 2240/403 (20130101); C10N 2240/404 (20130101); C10N 2240/405 (20130101); C10N 2240/406 (20130101); C10N 2240/407 (20130101); C10N 2240/408 (20130101); C10N 2240/409 (20130101); C10N 2250/02 (20130101); Y10T 137/0391 (20150401),"October 27, 1978","*     January 1, 1980","4,181,137",#4181137,True
26,,"05/880,991",United States Steel Corporation,25377552,F25B 39/024 (20130101); F25D 23/061 (20130101),"February 24, 1978","January 1, 1980","4,181,173",#4181173,True
27,,"05/877,172",,25369409,E06C 7/006 (20130101),"February 13, 1978","January 1, 1980","4,181,195",#4181195,True
28,,"05/895,463",Mitsubishi Denki Kabushiki Kaisha,12676288,H02P 3/24 (20130101),"April 11, 1978","January 1, 1980","4,181,197",#4181197,True
29,,"05/909,314",FMC Corporation,25427012,F16D 55/28 (20130101); F16D 59/02 (20130101); F16D 65/46 (20130101); F16D 2055/0062 (20130101); F16D 2065/383 (20130101); F16D 2121/22 (20130101); F16D 2125/64 (20130101); F16D 2127/04 (20130101),"May 24, 1978","January 1, 1980","4,181,201",#4181201,True
30,,"05/911,308",SIG Schweizerische Industrie-Gesellschaft,4315405,B65G 57/32 (20130101),"June 1, 1978","January 1, 1980","4,181,213",#4181213,True
31,,"05/885,668",Armstrong Store Fixtures Corporation,25387439,A47F 5/005 (20130101),"March 13, 1978","January 1, 1980","4,181,229",#4181229,True
32,,"05/955,770",G.A.O. Gesellschaft fur Automation und Organisation mbH,27149952,G06K 7/087 (20130101); G06K 19/067 (20130101); B42D 25/405 (20141001); B42D 25/00 (20141001); B42D 25/23 (20141001); B42D 25/465 (20141001); B42D 2033/10 (20130101); B42D 2033/32 (20130101); B42D 2035/02 (20130101); B42D 25/45 (20141001),"October 30, 1978","January 1, 1980","4,181,251",#4181251,True
33,,"05/801,983",CDC Chemical Corporation,25182526,A61L 9/01 (20130101); A61L 9/042 (20130101); A61L 9/12 (20130101),"May 31, 1977","January 1, 1980","4,181,255",#4181255,True
34,,"05/734,830",,24953244,D06B 23/04 (20130101),"October 22, 1976","January 1, 1980","4,181,274",#4181274,True
35,,"05/913,027",Fuji Jukogyo Kabushiki Kaisha,14145329,B64C 9/02 (20130101); B64C 13/16 (20130101); B64D 45/0005 (20130101); B64D 2045/001 (20130101),"June 6, 1978","January 1, 1980","4,181,276",#4181276,True
36,,"05/904,864",,25419903,F16J 15/54 (20130101),"May 11, 1978","January 1, 1980","4,181,312",#4181312,True
37,,"05/780,107",,25118625,F16L 41/02 (20130101); F16L 43/00 (20130101); F16L 45/00 (20130101),"March 22, 1977","January 1, 1980","4,181,330",#4181330,True
38,,"05/868,150",Fiat Societa per Azioni,11299575,E05B 83/16 (20130101); E05B 83/24 (20130101); Y10S 292/14 (20130101); Y10T 292/0902 (20150401); Y10T 292/28 (20150401),"January 9, 1978","January 1, 1980","4,181,334",#4181334,True
39,,"05/882,343",,25380391,A61G 5/10 (20130101); A61G 5/1094 (20161101),"March 1, 1978","January 1, 1980","4,181,358",#4181358,True
