,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"10/330,514","Neenah, WI","Kimberly-Clark Worldwide, Inc.",32654513,A41D 13/1209 (20130101); A41D 19/0089 (20130101); A41D 27/10 (20130101); A41D 27/245 (20130101); A61B 42/00 (20160201); A61B 46/00 (20160201); A61B 46/40 (20160201),"December 27, 2002","January 2, 2007","7,155,746",#7155746,True
1,,"10/906,558","Schenectady, NY",General Electric Company,36142106,F01D 11/02 (20130101); F02C 7/28 (20130101); F05D 2230/64 (20130101); Y10T 29/4987 (20150115); Y10T 29/5135 (20150115); Y10T 29/49297 (20150115); Y10T 29/49776 (20150115); Y10T 29/49938 (20150115); Y10T 29/53657 (20150115); Y10T 29/5197 (20150115); Y10T 29/49872 (20150115),"February 24, 2005","January 2, 2007","7,155,800",#7155800,True
2,,"11/401,955","Milpitas, CASAE Magnetics","Headway Technologies, Inc",34551689,G11B 5/1878 (20130101); Y10T 29/4906 (20150115); Y10T 29/49052 (20150115); Y10T 29/49043 (20150115); Y10T 29/49046 (20150115); Y10T 29/49044 (20150115); Y10T 29/49041 (20150115),"April 12, 2006","January 2, 2007","7,155,809",#7155809,True
3,,"10/762,452","Osaka, JP","Matsushita Electric Industrial Co., Ltd.",26600152,H05K 13/0853 (20180801); H05K 13/0413 (20130101); Y10T 29/49144 (20150115); Y10T 29/53087 (20150115); Y10T 29/53174 (20150115); Y10T 29/53183 (20150115); Y10T 29/53178 (20150115); Y10T 29/49131 (20150115); Y10T 29/53196 (20150115); Y10T 29/49133 (20150115); Y10T 29/4913 (20150115),"January 23, 2004","January 2, 2007","7,155,817",#7155817,True
4,,"10/802,673","Detroit, MI","American Axle & Manufacturing, Inc.",34994293,F16D 1/068 (20130101); F16D 1/10 (20130101); F16H 57/0025 (20130101); F16H 55/17 (20130101); F16D 2001/103 (20130101); F16H 48/08 (20130101); F16H 48/42 (20130101); Y10T 29/49464 (20150115); Y10T 29/49467 (20150115); Y10T 29/49462 (20150115); Y10T 29/49465 (20150115); Y10T 29/4948 (20150115),"March 17, 2004","January 2, 2007","7,155,824",#7155824,True
5,,"10/715,249","Dearborn, MI","Automotive Components Holdings, LLC.",32329314,B60J 1/1853 (20130101); B60J 10/74 (20160201); E06B 3/4681 (20130101),"November 17, 2003","January 2, 2007","7,155,862",#7155862,True
6,,"10/804,202","Auburn Hills, MI",Guardian Industries Corp.,34279073,B60J 1/1853 (20130101); E05D 15/1047 (20130101); E05D 2015/1055 (20130101); E05Y 2900/516 (20130101); E05Y 2900/55 (20130101); Y10S 292/06 (20130101),"March 19, 2004","January 2, 2007","7,155,863",#7155863,True
7,,"10/564,671","Velizy-Villacoublay, FR",Peugeot Citroen Automobiles SA,34508362,F02D 41/029 (20130101); F01N 9/002 (20130101); F01N 9/005 (20130101); F01N 2430/04 (20130101); F01N 2550/04 (20130101); F02D 2200/0812 (20130101); Y02T 10/47 (20130101); Y10S 55/30 (20130101),"October 5, 2004","January 2, 2007","7,155,900",#7155900,True
8,,"10/806,110","Tokyo, JP",Honda Giken Kogyo Kabushiki Kaisha,32852748,F01N 3/2842 (20130101); F01N 13/1838 (20130101); F01N 3/2839 (20130101); F01N 3/2875 (20130101); F01N 13/18 (20130101); F01N 2350/04 (20130101); F01N 2450/02 (20130101); F01N 2450/22 (20130101); F01N 2450/24 (20130101),"March 23, 2004","January 2, 2007","7,155,902",#7155902,True
9,,"10/865,117","Reno, NVN/A",The Board of Regents of the University and Community College System of Nevada on behalf of the Desert Research Institute,37592127,G01N 1/02 (20130101); G01N 1/2202 (20130101); G01N 15/0205 (20130101); G01N 2001/021 (20130101); G01N 2001/028 (20130101),"June 10, 2004","January 2, 2007","7,155,966",#7155966,True
10,,"10/875,095","Garden Grove, CA","Innovative Sampling Solutions, Inc.",35479199,G01N 1/2205 (20130101); G01N 1/2208 (20130101); G01N 1/2273 (20130101); G01N 15/0272 (20130101); G01N 2001/2833 (20130101),"June 22, 2004","January 2, 2007","7,155,988",#7155988,True
11,,"10/663,294","Wilmington, DE","CTB, Inc.",26753368,A01K 1/0052 (20130101); A01K 1/0064 (20130101); A01K 31/22 (20130101); A01K 45/00 (20130101),"September 16, 2003","January 2, 2007","7,156,051",#7156051,True
12,,"10/889,347",,,35598180,A62C 27/00 (20130101); A62C 99/009 (20130101); B67D 7/0238 (20130101); B67D 7/72 (20130101); Y10T 137/731 (20150401); Y10T 137/7313 (20150401),"July 13, 2004","January 2, 2007","7,156,133",#7156133,True
13,,"10/520,703","Stuttgart, DE",Behr GmbH & Co. KG,32336007,F28F 9/0224 (20130101),"October 31, 2003","January 2, 2007","7,156,164",#7156164,True
14,,"10/220,945",,,3896449,A62B 5/00 (20130101),"March 9, 2001","January 2, 2007","7,156,203",#7156203,True
15,,"10/799,745","Ecully, FR",Potain,32893383,B66C 23/70 (20130101),"March 15, 2004","January 2, 2007","7,156,245",#7156245,True
16,,"10/450,374","Paris, FRN/A","L'Air Liquide, Societe Anonyme a Directoire et Conseil de Surveillance pour l'Etude et l'Exploitation des Procedes Georges Claude",8857476,B23K 1/0016 (20130101); B23K 1/008 (20130101); B23K 1/203 (20130101); H05K 3/3494 (20130101); H05K 3/3436 (20130101); B23K 2101/42 (20180801); H05K 2201/10734 (20130101); H05K 2203/081 (20130101); H05K 2203/083 (20130101); H05K 2203/1121 (20130101),"December 10, 2001","January 2, 2007","7,156,283",#7156283,True
17,,"11/039,986","Chicago, IL",The Boeing Company,34381393,B64D 11/003 (20130101); Y02T 50/46 (20130101),"January 20, 2005","January 2, 2007","7,156,345",#7156345,True
