,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"07/863,337","Chicago, IL","Riddell, Inc.",27416184,A42B 3/122 (20130101),"April 2, 1992","January 5, 1993","5,175,889",#5175889,True
1,,"07/698,451",,,24805309,A47K 13/302 (20130101); A47K 17/00 (20130101); E03D 9/00 (20130101),"May 10, 1991","January 5, 1993","5,175,890",#5175890,True
2,,"07/830,306","Taipei, TW",Aucera Technology Corp.,25256717,E03D 1/36 (20130101); E03D 3/00 (20130101); E03D 5/00 (20130101); Y10T 137/8782 (20150401),"January 31, 1992","January 5, 1993","5,175,894",#5175894,True
3,,"07/899,320",,,27418957,A61G 7/05 (20130101); A61G 7/0507 (20130101); A61G 7/0522 (20161101); A61G 7/0524 (20161101),"June 16, 1992","*     January 5, 1993","5,175,897",#5175897,True
4,,"07/703,262","Neunkirchen, DE",Heinrich Baumgarten KG Spezialfabrik fuer Beschlagteile,6406914,A47J 45/071 (20130101),"May 21, 1991","January 5, 1993","5,175,907",#5175907,True
5,,"07/810,854","Melbourne, FL",Harris Corporation,25204884,H01R 43/015 (20130101); Y10T 29/5151 (20150115),"December 20, 1991","January 5, 1993","5,175,921",#5175921,True
6,,"07/726,442","Dearborn, MI",Ford Motor Company,26965121,H04B 1/16 (20130101); H04B 1/205 (20130101); Y10T 29/49126 (20150115),"July 5, 1991","January 5, 1993","5,175,926",#5175926,True
7,,"07/758,221","Harrisburg, PA",AMP Incorporated,27065050,H01R 12/727 (20130101); H01R 13/03 (20130101); Y10T 29/49224 (20150115); Y10T 29/49222 (20150115); H01R 12/724 (20130101),"September 5, 1991","January 5, 1993","5,175,928",#5175928,True
8,,"07/799,223","Franklin Lakes, NJ","Becton, Dickinson and Company",27400245,E06B 9/44 (20130101); A61B 50/30 (20160201); A61B 42/40 (20160201); E06B 2009/407 (20130101); E06B 2009/445 (20130101),"November 27, 1991","January 5, 1993","5,175,977",#5175977,True
9,,"07/767,895","Wormleysburg, PA",Harsco Corporation,25080899,F17C 13/087 (20130101); H05H 7/22 (20130101); F17C 2201/0119 (20130101); F17C 2250/0439 (20130101); F17C 2270/0509 (20130101); F17C 2223/0161 (20130101),"September 30, 1991","January 5, 1993","5,176,001",#5176001,True
10,,"07/789,421",NZ,Tru-Test Corporation Limited,19920742,A01J 5/01 (20130101); G01F 1/00 (20130101); G01F 15/12 (20130101); G01N 1/10 (20130101); G01N 33/04 (20130101),"November 4, 1991","January 5, 1993","5,176,035",#5176035,True
11,,"07/641,289","Shizuoka, JP",Suzuki Motor Corporation,12063165,B60K 17/34 (20130101); F16H 57/0483 (20130101); F16H 57/0401 (20130101); Y10T 74/19991 (20150115); F16H 57/0454 (20130101),"January 15, 1991","January 5, 1993","5,176,040",#5176040,True
12,,"07/913,584","Beitigheim-Bissingen, DE",SWF Auto-Electric GmbH,6340624,B60S 1/24 (20130101); F16C 11/0604 (20130101); F16D 1/072 (20130101); Y10T 403/49 (20150115); Y10T 74/18184 (20150115); Y10T 74/2173 (20150115); Y10T 29/49934 (20150115); F16C 2326/09 (20130101),"July 14, 1992","January 5, 1993","5,176,044",#5176044,True
13,,"07/688,737",,,24765567,B61B 1/02 (20130101); G06M 11/00 (20130101); G07C 9/00 (20130101),"April 18, 1991","January 5, 1993","5,176,082",#5176082,True
14,,"07/659,232",,,24644611,B63B 35/795 (20130101); B63B 35/7976 (20130101),"February 22, 1991","January 5, 1993","5,176,091",#5176091,True
15,,"07/606,514","St. Paul, MN",Minnesota Mining and Manufacturing Company,24428284,A01K 27/005 (20130101); B65D 63/14 (20130101); Y10T 24/44752 (20150115); Y10T 24/4014 (20150115),"October 31, 1990","January 5, 1993","5,176,106",#5176106,True
16,,"07/863,637","Chatham, CA",Siemens Automotive Limited,25341458,F02M 69/465 (20130101),"April 6, 1992","January 5, 1993","5,176,121",#5176121,True
17,,"07/686,103","Palo Alto, CA",Hewlett-Packard Company,24754921,A61B 8/12 (20130101); A61B 8/4461 (20130101); H01R 13/5224 (20130101); H02G 11/02 (20130101); A61B 8/445 (20130101),"April 16, 1991","January 5, 1993","5,176,142",#5176142,True
18,,"07/895,103",,,25403983,A45B 3/00 (20130101); A61H 2003/0222 (20130101),"June 8, 1992","January 5, 1993","5,176,160",#5176160,True
19,,"07/743,057","Cincinnati, OH",General Electric Company,24987356,G05D 9/02 (20130101); F16N 19/006 (20130101); F01M 11/12 (20130101); F01M 2011/007 (20130101); Y10T 137/86348 (20150401),"August 9, 1991","January 5, 1993","5,176,174",#5176174,True
