,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"11/713,487",,,38470180,A41D 19/01594 (20130101); B43L 21/00 (20130101); B43L 19/005 (20130101); B43K 25/00 (20130101),"March 3, 2007","January 4, 2011","7,861,353",#7861353,True
1,,"11/569,789","Kronberg, DE","Braun, GmbH",35404474,A46B 15/0002 (20130101); A46B 15/0032 (20130101); A61C 17/222 (20130101); A61C 3/005 (20130101); A46B 2200/1066 (20130101),"May 21, 2005","January 4, 2011","7,861,356",#7861356,True
2,,"11/345,930","Rochester Hill, MI",Trico Products Corporation,38320529,B60S 1/38 (20130101); B60S 1/381 (20130101); B60S 1/3881 (20130101); B60S 2001/3818 (20130101); B60S 1/3891 (20130101),"February 2, 2006","January 4, 2011","7,861,363",#7861363,True
3,,"12/321,965","Winnenden, DE",Alfred Kaercher GmbH & Co. KG,37853027,A47L 9/20 (20130101); F16K 31/404 (20130101); B01D 46/521 (20130101); B01D 2273/28 (20130101),"January 26, 2009","January 4, 2011","7,861,367",#7861367,True
4,,"12/405,625","Tokyo, JP",Kabushiki Kaisha Topcon,40718483,G01C 15/004 (20130101); G01S 17/66 (20130101); G01S 17/42 (20130101); G01S 7/4812 (20130101),"March 17, 2009","January 4, 2011","7,861,423",#7861423,True
5,,"12/481,736","Orlando, FL","Siemens Energy, Inc.",43305120,F04D 29/122 (20130101); G01B 5/25 (20130101); F04D 29/644 (20130101),"June 10, 2009","January 4, 2011","7,861,435",#7861435,True
6,,"12/315,133",,,40720174,G09F 7/18 (20130101); G09F 15/0025 (20130101); G09F 15/0018 (20130101),"November 28, 2008","January 4, 2011","7,861,446",#7861446,True
7,,"12/396,220","Stuart, FL","Vallery Industries, Inc.",42136322,B63B 27/146 (20130101); E06C 7/48 (20130101); E06C 5/04 (20130101); E06C 1/30 (20130101),"March 2, 2009","January 4, 2011","7,861,663",#7861663,True
8,,"11/636,220","Shenzhen, CN","Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",38332740,A61M 16/08 (20130101); A61B 5/087 (20130101); A61M 2205/50 (20130101); A61M 2016/0036 (20130101); A61M 2205/44 (20130101); A61M 16/0816 (20130101),"December 8, 2006","January 4, 2011","7,861,711",#7861711,True
9,,"12/078,715","Aichi-pref., JPToyota Jidosha Kabushiki Kaisha","Toyoda Gosei Co., Ltd.",39852782,F17C 1/16 (20130101); F17C 2260/011 (20130101); F17C 2201/056 (20130101); F17C 2203/0604 (20130101); F17C 2203/0619 (20130101); F17C 2203/066 (20130101); F17C 2203/0663 (20130101); F17C 2203/0673 (20130101); F17C 2205/0305 (20130101); F17C 2221/033 (20130101); F17C 2221/035 (20130101); F17C 2223/0123 (20130101); F17C 2223/0153 (20130101); F17C 2223/0161 (20130101); F17C 2223/033 (20130101); F17C 2223/035 (20130101); F17C 2223/036 (20130101); F17C 2201/0104 (20130101),"April 3, 2008","January 4, 2011","7,861,887",#7861887,True
