,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"08/726,054",,,24917028,A41D 19/015 (20130101); A41D 19/01511 (20130101),"September 27, 1996","January 6, 1998","5,704,066",#5704066,True
1,,"08/771,828","Seoul, KR",LG Electronics Inc.,19458499,D06F 58/28 (20130101); D06F 2058/2877 (20130101); D06F 2058/2861 (20130101),"December 23, 1996","January 6, 1998","5,704,136",#5704136,True
2,,"08/703,733","Milan, IT",DLC S.r.l.,11367169,E04B 1/20 (20130101); E04B 5/04 (20130101); E04B 5/043 (20130101); E04B 5/06 (20130101); E04B 5/43 (20130101); E04B 5/48 (20130101),"August 27, 1996","January 6, 1998","5,704,174",#5704174,True
3,,"08/447,935","Tokyo, JP",Mitsubishi Jukogyo Kabushiki Kaisha,14514395,F01K 23/061 (20130101); F02C 3/20 (20130101); F01K 23/067 (20130101); Y02E 20/18 (20130101),"May 23, 1995","January 6, 1998","5,704,206",#5704206,True
4,,"08/568,270","Claremont, CA",SEAmagine Hydrospace Corporation,24270618,B63G 8/16 (20130101); B63G 8/22 (20130101),"December 6, 1995","January 6, 1998","5,704,309",#5704309,True
5,,"08/573,184",,,23089495,A61B 5/14507 (20130101); A61B 5/14539 (20130101); A61B 5/20 (20130101); A61B 5/201 (20130101); A61B 5/202 (20130101); A61B 5/205 (20130101); A61F 2/0009 (20130101); A61M 25/0017 (20130101); A61M 2205/3324 (20130101); A61M 2205/3344 (20130101); A61M 2205/3368 (20130101),"December 15, 1995","January 6, 1998","5,704,353",#5704353,True
6,,"08/445,041","Salt Lake City, UT",Huntsman Specialty Chemicals Corporation,23767387,F28D 7/163 (20130101); F28F 9/00 (20130101); Y10S 165/407 (20130101); Y10S 165/402 (20130101),"May 19, 1995","January 6, 1998","5,704,422",#5704422,True
7,,"08/647,338",,,24596579,A45F 3/04 (20130101); A45F 2003/125 (20130101),"May 9, 1996","January 6, 1998","5,704,529",#5704529,True
8,,"08/741,869","Dallas, TX","Can Depot, L.P.",24982547,B02C 19/0081 (20130101); B02C 23/08 (20130101); B03B 9/061 (20130101); B07B 4/02 (20130101); B07B 7/01 (20130101); B07B 9/02 (20130101); G07F 7/0609 (20130101); Y02W 30/521 (20150501); Y02W 30/525 (20150501),"September 16, 1996","January 6, 1998","5,704,558",#5704558,True
9,,"08/307,304",,,23189140,F16L 3/2431 (20190801); F16L 3/24 (20130101); H02G 3/0456 (20130101),"September 16, 1994","January 6, 1998","5,704,571",#5704571,True
10,,"08/603,600","Saarbrucken, DE",Hydac Befestigungstechnik GmbH,7762283,F16L 3/12 (20130101); F16L 3/137 (20130101),"February 21, 1996","January 6, 1998","5,704,574",#5704574,True
11,,"08/699,977","Dayton, OH",The Standard Register Company,46249506,B42D 15/006 (20130101),"August 20, 1996","January 6, 1998","5,704,650",#5704650,True
12,,"08/605,040",L.C.,Tamrock Oy-,8538526,E21B 19/08 (20130101); F16C 29/02 (20130101); F16C 29/005 (20130101); E21B 19/24 (20130101),"March 28, 1996","January 6, 1998","5,704,716",#5704716,True
13,,"08/656,479",,,10755457,E01F 13/123 (20130101),"May 31, 1996","January 6, 1998","5,704,730",#5704730,True
14,,"08/685,452","Fort Worth, TX",Lockheed Martin Corporation,24752264,F16B 5/025 (20130101),"July 19, 1996","January 6, 1998","5,704,749",#5704749,True
15,,"08/799,432",,,25175900,A61C 8/005 (20130101); A61C 8/0068 (20130101); A61C 8/006 (20130101),"February 12, 1997","January 6, 1998","5,704,788",#5704788,True
16,,"08/827,756","Wilmington, DE",The Whitaker Corporation,24277896,H01R 12/707 (20130101),"April 11, 1997","January 6, 1998","5,704,807",#5704807,True
17,,"08/633,143",,,24538446,A63B 35/12 (20130101); B63H 11/117 (20130101),"April 16, 1996","January 6, 1998","5,704,817",#5704817,True
18,,"08/681,120",,,24733923,A63B 57/0006 (20130101),"July 22, 1996","January 6, 1998","5,704,844",#5704844,True
19,,"08/522,440",,,24080866,A61M 5/1684 (20130101); G01F 23/2921 (20130101),"August 31, 1995","January 6, 1998","5,704,923",#5704923,True
20,,"08/768,703","Suwon, KR","Samsung Electronics Co., Ltd.",19441094,C23C 16/45572 (20130101); C23C 16/455 (20130101),"December 18, 1996","January 6, 1998","5,704,984",#5704984,True
21,,"08/491,863","Vienna, AT",Austrian Energy & Environment SGP/Waagner-Biro GmbH,3536713,C02F 3/1215 (20130101); C02F 9/00 (20130101); C02F 1/5236 (20130101); C02F 1/66 (20130101); Y02W 10/15 (20150501); C02F 2103/28 (20130101); Y10S 210/928 (20130101); Y02W 10/40 (20150501); C02F 11/06 (20130101),"August 9, 1995","January 6, 1998","5,705,073",#5705073,True
