,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"06/178,864",,22654217,A61F 11/06 (20130101),"August 18, 1980","January 5, 1982","4,308,623",#4308623,True
1,,"06/134,307",Arman S.p.A.,11304353,B60S 1/40 (20130101); B60S 1/4003 (20130101); B60S 1/4083 (20130101); B60S 2001/409 (20130101); B60S 2001/4051 (20130101),"March 26, 1980","January 5, 1982","4,308,635",#4308635,True
2,,"06/018,648",Celanese Corporation,21789045,D04H 3/04 (20130101),"March 8, 1979","January 5, 1982","4,308,640",#4308640,True
3,,"06/172,963",,4114873,A01M 23/24 (20130101),"July 28, 1980","January 5, 1982","4,308,682",#4308682,True
4,,"06/101,438",,22284638,B60R 13/04 (20130101); Y10T 428/24008 (20150115); Y10T 428/24289 (20150115),"December 10, 1979","January 5, 1982","4,308,704",#4308704,True
5,,"06/116,899",,26814736,B31B 50/00 (20170801); B31B 50/44 (20170801),"January 30, 1980","January 5, 1982","4,308,709",#4308709,True
6,,"06/196,482",Rieter Machine Works Ltd.,22725584,D01H 7/602 (20130101),"May 25, 1980","January 5, 1982","4,308,715",#4308715,True
7,,"05/973,609",,19883962,F01D 25/30 (20130101); F02B 39/00 (20130101); F04D 27/0215 (20130101); F02C 3/32 (20130101); Y10S 415/914 (20130101); F05D 2260/601 (20130101),"December 27, 1978","January 5, 1982","4,308,718",#4308718,True
8,,"06/147,369",,22521299,G08B 15/002 (20130101); F25D 29/00 (20130101); F25D 23/12 (20130101); F25D 2700/12 (20130101),"May 5, 1980","January 5, 1982","4,308,724",#4308724,True
9,,"06/085,318",Copal Company Limited,27456699,B21J 15/12 (20130101); Y10T 408/6779 (20150115); Y10T 74/18024 (20150115),"October 16, 1979","January 5, 1982","4,308,738",#4308738,True
10,,"06/110,249",Kocks Technik GmbH & Co.,6061655,B21B 28/02 (20130101),"January 7, 1980","January 5, 1982","4,308,740",#4308740,True
11,,"06/051,981",,21974628,G01F 1/115 (20130101),"June 25, 1979","January 5, 1982","4,308,755",#4308755,True
12,,"06/133,307",,4113851,B06B 1/161 (20130101); Y10T 74/18344 (20150115); Y10T 74/18552 (20150115),"March 24, 1980","January 5, 1982","4,308,758",#4308758,True
13,,"06/112,132",,3486044,A21B 5/02 (20130101),"January 14, 1980","January 5, 1982","4,308,790",#4308790,True
14,,"06/159,235","Dec International, Inc.",26693894,A01J 25/02 (20130101); B01F 15/0267 (20130101); B01F 11/0085 (20130101); A01J 25/08 (20130101),"June 13, 1980","January 5, 1982","4,308,791",#4308791,True
15,,"06/100,765",NCR Corporation,22281418,B41J 27/02 (20130101); B41J 1/12 (20130101),"December 6, 1979","January 5, 1982","4,308,795",#4308795,True
16,,"06/042,519",,21922370,F41B 7/025 (20130101),"May 25, 1979","January 5, 1982","4,308,850",#4308850,True
17,,"06/089,100",,22215684,F24S 80/525 (20180501); F24S 80/70 (20180501); F24S 20/67 (20180501); Y02B 10/20 (20130101); Y02E 10/44 (20130101); Y02P 80/24 (20151101); Y02P 80/156 (20151101); Y10S 126/904 (20130101); F24S 2025/6002 (20180501); Y10S 126/907 (20130101); F24S 2025/022 (20180501),"October 29, 1979","January 5, 1982","4,308,858",#4308858,True
18,,"06/047,265",,21947979,A46B 1/00 (20130101); A61H 7/003 (20130101); A46B 5/04 (20130101),"June 8, 1979","January 5, 1982","4,308,860",#4308860,True
