,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"07/457,181","Dakota City, NE","IBP, Inc.",23815758,A22B 5/161 (20130101),"December 26, 1989","January 1, 1991","4,980,948",#4980948,True
1,,"07/224,744",,,22841997,E04B 1/3527 (20130101); E04G 23/0266 (20130101); E04B 2001/3561 (20130101),"July 27, 1988","January 1, 1991","4,980,999",#4980999,True
2,,"07/405,332",,,23603251,E04H 12/08 (20130101); Y10T 29/49631 (20150115),"September 11, 1989","January 1, 1991","4,981,005",#4981005,True
3,,"07/259,454",,,26830723,F03B 17/02 (20130101); F05B 2210/401 (20130101); Y02E 10/20 (20130101),"October 17, 1988","January 1, 1991","4,981,015",#4981015,True
4,,"07/306,827","El Toro, CA","Belco Equipment, Inc.",23187039,D06F 39/022 (20130101),"February 3, 1989","January 1, 1991","4,981,024",#4981024,True
5,,"07/252,748",,,22957368,G01N 9/16 (20130101),"October 3, 1988","January 1, 1991","4,981,042",#4981042,True
6,,"07/365,973","Munich, DE",Siemens Aktiengesellschaft,6356629,G01N 29/265 (20130101); G21C 17/017 (20130101); G01N 2291/044 (20130101); G01N 2291/2636 (20130101),"June 14, 1989","January 1, 1991","4,981,044",#4981044,True
7,,"07/443,472","Kobe, JP",Kabushiki Kaisha Kobe Seiko Sho,15814625,E02F 9/2004 (20130101); G05G 9/047 (20130101); G05G 2009/04718 (20130101); Y10T 137/5196 (20150401); Y10T 403/66 (20150115); Y10T 74/20201 (20150115); F16B 2200/10 (20180801); Y10T 403/32262 (20150115); Y10T 137/87072 (20150401); Y10T 74/20624 (20150115); Y10T 74/20618 (20150115),"November 30, 1989","January 1, 1991","4,981,047",#4981047,True
8,,"07/462,554","Lyndhurst, OH",TRW Inc.,26958373,B62D 1/184 (20130101); Y10T 403/32426 (20150115); Y10T 403/32501 (20150115); Y10T 403/7058 (20150115),"January 9, 1990","January 1, 1991","4,981,049",#4981049,True
9,,"07/523,684","Carroll, OH","Diamond Electronics, Inc.",24086004,F23J 3/00 (20130101); F23M 11/04 (20130101); F23N 5/08 (20130101); F23N 2029/18 (20130101); F23N 2029/20 (20130101),"May 14, 1990","January 1, 1991","4,981,088",#4981088,True
10,,"06/881,920","New Baltimore, MI","Carels, Jr.; Henry A.",27108864,A61B 5/14507 (20130101); A61B 5/20 (20130101); A61B 5/208 (20130101),"July 3, 1986","January 1, 1991","4,981,144",#4981144,True
11,,"07/443,218",,,23759889,F28F 13/12 (20130101); Y10S 165/53 (20130101),"November 29, 1989","January 1, 1991","4,981,170",#4981170,True
12,,"07/420,591",DE,Marathon LeTourneau Company,23667091,G01G 19/10 (20130101),"October 12, 1989","January 1, 1991","4,981,186",#4981186,True
13,,"07/322,641",JP,Tochigifujisangyo Kabushiki Kaisha,26399289,B60K 17/351 (20130101); F16D 35/005 (20130101); F16D 47/06 (20130101); F16H 48/12 (20130101); Y10T 74/19005 (20150115); Y10T 74/19079 (20150115),"March 13, 1989","January 1, 1991","4,981,192",#4981192,True
14,,"07/153,394","Armonk, NY",International Business Machines Corp.,22547044,B41J 11/30 (20130101),"February 8, 1988","January 1, 1991","4,981,244",#4981244,True
15,,"07/335,301","Birmingham, GB2",Lucas Industries public limited company,10635478,F02M 45/08 (20130101),"April 10, 1989","January 1, 1991","4,981,267",#4981267,True
16,,"07/502,690",,,23998942,B65F 1/1638 (20130101),"April 2, 1990","January 1, 1991","4,981,275",#4981275,True
17,,"07/305,352","Kowloon, HK",Saitek Limited,10630897,A63F 3/00643 (20130101); A63F 3/00694 (20130101); A63F 2003/00675 (20130101),"February 1, 1989","January 1, 1991","4,981,300",#4981300,True
18,,"07/429,454","Tokyo, JP",Kabushiki Kaisha Matsuyama Seisakusho,27309970,B60R 1/074 (20130101),"October 31, 1989","January 1, 1991","4,981,349",#4981349,True
19,,"07/491,425","Tokyo, JP","Citizen Watch Co., Ltd.",12200084,B41J 15/04 (20130101),"March 9, 1990","January 1, 1991","4,981,380",#4981380,True
20,,"07/386,657","London, GB2",Poppapin Limited,25672906,B42F 3/04 (20130101); B42F 15/0064 (20130101); F16B 19/00 (20130101); F16B 21/071 (20130101); F16B 21/073 (20130101); F16B 21/16 (20130101); G03F 9/00 (20130101),"July 31, 1989","January 1, 1991","4,981,385",#4981385,True
21,,"07/394,074","Aichi, JP",Kabushiki Kaisha Toyoda Jidoshokki Seisakusho,14590549,F04B 27/1063 (20130101); F16C 19/30 (20130101); F16C 2360/44 (20130101),"August 15, 1989","January 1, 1991","4,981,419",#4981419,True
22,,"07/229,535","Hopkinsville, KY","White Hydraulics, Inc.",22861654,F03C 2/08 (20130101); F04C 2/104 (20130101); F04C 11/001 (20130101),"August 8, 1988","January 1, 1991","4,981,422",#4981422,True
23,,"07/386,451",DE,C.A. Weidmuller GmbH & Co.,26660270,H01R 4/185 (20130101); H01R 43/048 (20130101); H01R 43/16 (20130101); H01R 4/187 (20130101); Y10S 439/936 (20130101); Y10T 29/49222 (20150115),"July 28, 1989","January 1, 1991","4,981,451",#4981451,True
24,,"07/531,216",,,24116729,A61F 13/622 (20130101); A61F 13/49004 (20130101); A61F 13/49011 (20130101); A61F 13/491 (20130101); A61F 2013/49076 (20130101); A61F 2013/49096 (20130101); A61F 2013/5672 (20130101); Y10S 2/919 (20130101); A61F 13/511 (20130101),"May 31, 1990","January 1, 1991","4,981,480",#4981480,True
25,,"07/415,444","Paris, FR","L'Air Liquide, Societe Anonyme pour l'Etude et l'Exploitation des",9335882,B01D 53/0476 (20130101); C01B 13/0259 (20130101); C01B 23/00 (20130101); C01B 3/56 (20130101); Y02C 10/08 (20130101); B01D 2259/4003 (20130101); B01D 2259/40037 (20130101); B01D 2256/12 (20130101); B01D 2257/11 (20130101); B01D 2259/40045 (20130101); C01B 2210/0046 (20130101); B01D 2257/102 (20130101); B01D 2259/404 (20130101); Y02P 30/30 (20151101); B01D 2256/18 (20130101); B01D 2257/702 (20130101); B01D 2259/4061 (20130101); C01B 2203/047 (20130101); B01D 2257/504 (20130101); B01D 2259/40073 (20130101); C01B 2203/0465 (20130101); B01D 2259/4062 (20130101); B01D 2259/40032 (20130101); Y02P 20/152 (20151101); B01D 2259/40071 (20130101); B01D 2256/245 (20130101); B01D 2259/40075 (20130101); C01B 2203/0475 (20130101); B01D 2257/104 (20130101); B01D 2259/40067 (20130101); B01D 2257/502 (20130101); C01B 2203/042 (20130101); C01B 2203/048 (20130101); B01D 2259/40041 (20130101); B01D 2256/16 (20130101); B01D 53/053 (20130101),"September 28, 1989","January 1, 1991","4,981,499",#4981499,True
26,,"07/406,176","Yatsushiro, JP","Shinkohjinkasei Co., Ltd.",13930591,B01J 20/28004 (20130101); B01J 20/28033 (20130101); C08K 3/04 (20130101); B01J 20/20 (20130101); C08L 1/24 (20130101); C08B 16/00 (20130101); B01J 20/28026 (20130101); B01J 20/28023 (20130101); C08K 3/04 (20130101); C08L 1/24 (20130101); C08L 1/24 (20130101); C08L 2666/02 (20130101),"September 12, 1989","January 1, 1991","4,981,515",#4981515,True
27,,"07/489,968","Alexandria, VA",Atlantic Research Corporation,23946027,B60R 21/272 (20130101); C06D 5/06 (20130101); C06B 45/10 (20130101),"March 7, 1990","January 1, 1991","4,981,534",#4981534,True
28,,"07/265,204","Carlin, NV",Newmont Gold Company,23009467,B01D 15/02 (20130101); C22B 9/023 (20130101); C22B 11/04 (20130101); C22B 3/24 (20130101); B01D 2215/021 (20130101); Y02P 10/234 (20151101),"October 31, 1988","*     January 1, 1991","4,981,598",#4981598,True
29,,"07/389,438","Lexington, MA",Raytheon Company,23538268,B29C 35/0277 (20130101); B29C 35/08 (20130101); B29C 70/80 (20130101); H05B 6/782 (20130101); B29C 2035/0855 (20130101); B29K 2027/06 (20130101); B29K 2105/0061 (20130101); Y10S 264/46 (20130101),"August 4, 1989","January 1, 1991","4,981,627",#4981627,True
30,,"07/334,075","St. Petersburg, FL",Botsolas; Carol,23305469,C08J 9/103 (20130101); C08J 2327/06 (20130101); Y10T 428/249989 (20150401); Y10T 428/249988 (20150401); Y10T 428/139 (20150115); Y10T 428/1393 (20150115); Y10T 428/1376 (20150115),"April 5, 1989","January 1, 1991","4,981,630",#4981630,True
