,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"11/487,964","Kenosha, WI",Snap-On Incorporated,38870390,G01B 11/2755 (20130101); H04N 7/181 (20130101); G01B 11/275 (20130101); H04N 7/183 (20130101); G06K 9/00791 (20130101); G01B 2210/28 (20130101); G01B 2210/30 (20130101); G01B 2210/14 (20130101),"July 18, 2006","January 1, 2008","7,313,869",#7313869,True
1,,"10/784,216","Tokyo, JP","Hitachi, Ltd.",19086541,F23R 3/10 (20130101); F23R 3/28 (20130101); F23R 3/286 (20130101); F23R 3/36 (20130101); F23R 2900/03282 (20130101),"February 24, 2004","January 1, 2008","7,313,919",#7313919,True
2,,"10/832,835",,,38366904,F25D 3/08 (20130101); A45C 11/20 (20130101); F25D 17/04 (20130101); F25D 2303/082 (20130101); F25D 2303/0843 (20130101); F25D 2331/801 (20130101),"April 26, 2004","January 1, 2008","7,313,927",#7313927,True
3,,"11/243,792","Glendale, WI",Oldenburg Group Incorporated,37900702,B63B 35/34 (20130101); B63B 35/38 (20130101); E01D 15/14 (20130101),"October 5, 2005","January 1, 2008","7,314,017",#7314017,True
4,,"10/546,244","Graz, AT",AVL List GmbH,3481662,F01L 13/06 (20130101); F01L 13/065 (20130101); F01N 3/043 (20130101); F02B 29/0462 (20130101); F02D 13/04 (20130101); F02D 17/026 (20130101); F01L 2760/004 (20130101); F01N 2240/02 (20130101); F02B 29/0406 (20130101); F02B 37/00 (20130101); Y02T 10/146 (20130101); Y02T 10/20 (20130101),"February 19, 2004","January 1, 2008","7,314,037",#7314037,True
5,,"11/289,208","Dearborn, MI",Ford Global Technologies LLC,38820614,F01L 3/06 (20130101); F01L 3/20 (20130101); F01L 3/22 (20130101); F02B 21/00 (20130101); F02B 29/02 (20130101); F02D 41/402 (20130101); F02B 23/104 (20130101); F02B 37/00 (20130101); F02B 2075/125 (20130101); F02M 2023/008 (20130101); Y02T 10/146 (20130101); Y02T 10/44 (20130101); Y02T 10/123 (20130101),"November 28, 2005","January 1, 2008","7,314,043",#7314043,True
6,,"11/624,536","Taunton, MA","WBIP, LLC",34572813,F01N 3/10 (20130101); F02D 31/007 (20130101); F01N 3/2066 (20130101); F01N 3/2882 (20130101); F02B 61/04 (20130101); F02D 9/04 (20130101); F02D 29/06 (20130101); F02D 41/083 (20130101); F02D 41/1441 (20130101); F02D 41/1452 (20130101); F02D 41/1454 (20130101); F02D 2041/228 (20130101),"January 18, 2007","January 1, 2008","7,314,044",#7314044,True
7,,"10/835,765",,,38870413,A45C 11/008 (20130101); A45C 15/00 (20130101); A45C 15/02 (20130101); A45C 2011/007 (20130101),"April 29, 2004","January 1, 2008","7,314,135",#7314135,True
8,,"11/546,229","Tokyo, JP","Y.A.C. Co., Ltd.",38031474,D06F 71/20 (20130101),"October 10, 2006","January 1, 2008","7,314,151",#7314151,True
9,,"11/501,146",,,38870426,A01K 97/06 (20130101); B65H 49/205 (20130101); B65H 2701/355 (20130101),"August 7, 2006","January 1, 2008","7,314,193",#7314193,True
10,,"11/341,340","Alpharetta, GA","Siemens Energy & Automation, Inc.",37462182,H02B 1/52 (20130101); H02B 1/50 (20130101),"January 26, 2006","January 1, 2008","7,314,205",#7314205,True
11,,"11/005,313","Seattle, WA",K-2 Corporation,34676757,A63C 5/03 (20130101); A63C 5/12 (20130101),"December 6, 2004","January 1, 2008","7,314,227",#7314227,True
12,,"10/857,677",,,35424333,F16L 9/18 (20130101); F16L 2201/20 (20130101),"May 28, 2004","January 1, 2008","7,314,237",#7314237,True
13,,"10/524,320",N/A,A. Raymond & CIE,30775106,F21V 15/01 (20130101); F21V 17/107 (20130101); F21V 21/04 (20130101); F21V 23/06 (20130101); F21S 8/02 (20130101); F21Y 2103/00 (20130101),"July 26, 2003","January 1, 2008","7,314,295",#7314295,True
14,,"10/811,684","Morristownship, NJ",Honeywell International Inc.,34636614,B64D 47/06 (20130101); B64D 2203/00 (20130101); Y10S 362/80 (20130101),"March 29, 2004","January 1, 2008","7,314,296",#7314296,True
15,,"10/537,519","Shatin, HK",TPO Hong Kong Holding Limited,32677180,G02B 6/0038 (20130101); G02B 6/0061 (20130101),"December 1, 2003","January 1, 2008","7,314,303",#7314303,True
16,,"11/521,261","North Canton, OH","Diebold, Incorporated",38870444,B65G 51/26 (20130101),"September 14, 2006","January 1, 2008","7,314,337",#7314337,True
17,,"11/044,436",,,25102763,F04D 7/065 (20130101); F04D 29/22 (20130101); F04D 29/2255 (20130101); F04D 29/2288 (20130101); F04D 29/043 (20130101),"January 27, 2005","January 1, 2008","7,314,348",#7314348,True
18,,"10/660,341","Tokyo, JP","Sony Computer Entertainment, Inc.",29272124,A63F 13/06 (20130101); A63F 13/285 (20140902); A63F 13/24 (20140902); A63F 2300/1037 (20130101),"September 11, 2003","January 1, 2008","7,314,413",#7314413,True
