,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"06/296,292",,,23141407,E03C 1/26 (20130101),"August 26, 1981","*     January 1, 1985","4,490,862",#4490862,True
1,,"06/609,553",,,27071107,A46B 5/00 (20130101); A46B 3/14 (20130101),"May 11, 1984","January 1, 1985","4,490,872",#4490872,True
2,,"06/431,788",,,26094615,A46B 5/00 (20130101); A46B 9/02 (20130101); A46B 17/06 (20130101); A46B 9/12 (20130101); A46B 2200/202 (20130101),"September 30, 1982","January 1, 1985","4,490,875",#4490875,True
3,,"06/501,867",,,13852676,B26D 3/26 (20130101); A47J 25/00 (20130101),"June 7, 1983","January 1, 1985","4,490,912",#4490912,True
4,,"06/460,108",,,23827412,G01B 3/008 (20130101); G01B 7/001 (20130101); Y10S 33/02 (20130101),"January 24, 1983","January 1, 1985","4,490,913",#4490913,True
5,,"06/576,934","Alexandria, MN",Continental Custom Bridge Company,27029216,G01B 5/20 (20130101),"February 6, 1984","January 1, 1985","4,490,918",#4490918,True
6,,"06/427,982",,,23697103,B23K 35/404 (20130101); F26B 3/347 (20130101); F26B 15/14 (20130101); F27B 9/38 (20130101); F27D 5/0056 (20130101); F27B 9/2461 (20130101); F27B 9/067 (20130101); F27B 9/145 (20130101); Y02P 10/253 (20151101); F27D 2003/004 (20130101); F27M 2003/03 (20130101),"September 28, 1982","January 1, 1985","4,490,922",#4490922,True
7,,"06/374,584","Toledo, OH",Owens-Corning Fiberglas Corporation,23477459,B29C 70/504 (20130101); F27B 9/28 (20130101); C04B 40/02 (20130101); F26B 13/101 (20130101); F26B 17/026 (20130101); B29K 2061/04 (20130101); B29K 2503/04 (20130101); B29K 2995/0015 (20130101),"May 3, 1982","January 1, 1985","4,490,927",#4490927,True
8,,"06/502,211",,,23996837,A01G 2/30 (20180201); A01G 7/00 (20130101),"June 8, 1983","January 1, 1985","4,490,940",#4490940,True
9,,"06/392,012",,,11282513,F16L 5/00 (20130101); E03C 1/042 (20130101); Y10T 137/7043 (20150401); E03C 2201/50 (20130101),"June 25, 1982","January 1, 1985","4,490,954",#4490954,True
10,,"06/522,139","San Francisco, CA",Crown Zellerbach Corporation,24079623,B29C 65/18 (20130101); B29C 66/21 (20130101); B29C 66/83541 (20130101); B65B 9/073 (20130101); B29C 66/81422 (20130101); B29C 66/4312 (20130101); B29C 66/82265 (20130101); B29C 66/49 (20130101); B29C 66/1122 (20130101); B29C 66/306 (20130101); B29C 66/73715 (20130101); B29C 66/4322 (20130101); B29C 66/8227 (20130101); Y10T 156/1013 (20150115),"August 11, 1983","January 1, 1985","4,490,962",#4490962,True
11,,"06/566,788","Louisville, KY",General Electric Company,24264382,F25D 21/14 (20130101); F25D 23/006 (20130101); F25D 23/003 (20130101); F25D 2323/00271 (20130101); F25D 2321/1442 (20130101); F25D 2323/00264 (20130101),"December 29, 1983","January 1, 1985","4,490,990",#4490990,True
12,,"06/475,575","Rochester, NY",The Gleason Works,23888185,F16H 48/29 (20130101),"March 15, 1983","January 1, 1985","4,491,036",#4491036,True
13,,"06/404,797","Redwood Valley, CA",Morris; Anthony D.,23601081,F01B 3/0002 (20130101); F16H 23/08 (20130101); F01B 3/02 (20130101); Y10T 74/18336 (20150115),"August 3, 1982","January 1, 1985","4,491,057",#4491057,True
