,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"07/610,165",,,24443950,A47K 3/28 (20130101); A47K 3/001 (20130101),"November 5, 1990","January 7, 1992","5,077,842",#5077842,True
1,,"07/484,358",,,26154415,D06B 3/28 (20130101),"February 22, 1990","January 7, 1992","5,077,851",#5077851,True
2,,"07/525,447",,,24093298,B23P 15/40 (20130101); B23P 15/403 (20130101); B26B 9/00 (20130101); B26D 1/0006 (20130101); B26D 2001/006 (20130101); B26D 2001/002 (20130101); B26D 2001/0053 (20130101),"May 18, 1990","January 7, 1992","5,077,901",#5077901,True
3,,"07/733,847",,,24949350,A01K 91/02 (20130101),"July 22, 1991","January 7, 1992","5,077,929",#5077929,True
4,,"07/411,545","Bozeman, MT","Life Resonances, Inc.",23629376,A01G 7/04 (20130101),"September 22, 1989","January 7, 1992","5,077,934",#5077934,True
5,,"07/607,043","Dallas, TX","Baker Metal Products, Inc.",24430573,E04B 9/0478 (20130101); E04B 9/30 (20130101); E04B 9/127 (20130101); E04B 9/064 (20130101),"October 31, 1990","January 7, 1992","5,077,951",#5077951,True
6,,"07/517,022",,,4140023,B62K 23/06 (20130101); Y10T 74/20287 (20150115); Y10T 74/20438 (20150115),"May 1, 1990","January 7, 1992","5,078,023",#5078023,True
7,,"07/655,071","Minnetonka, MN",Alliant Techsystems Inc.,24627384,F42C 17/04 (20130101),"February 14, 1991","January 7, 1992","5,078,051",#5078051,True
8,,"07/629,901","Phoenix, AZ",AG Communication Systems Corporation,24524961,B41F 15/42 (20130101); H05K 3/1233 (20130101); Y10T 403/7067 (20150115); H05K 2203/0139 (20130101),"December 19, 1990","January 7, 1992","5,078,063",#5078063,True
9,,"07/574,743",,,27022496,B65D 5/3642 (20130101); A01K 1/0125 (20130101),"August 30, 1990","January 7, 1992","5,078,099",#5078099,True
