,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"06/042,658",Multifastener Corporation,21923088,B23P 19/006 (20130101); B23P 19/062 (20130101); Y10T 29/53478 (20150115); Y10T 29/5343 (20150115),"May 25, 1979","January 6, 1981","4,242,793",#4242793,True
1,,"06/001,733",,21697560,A47G 1/14 (20130101),"January 8, 1979","January 6, 1981","4,242,817",#4242817,True
2,,"06/016,011",deBoer; Sherry Miles,21774872,F41A 9/58 (20130101),"February 28, 1979","January 6, 1981","4,242,825",#4242825,True
3,,"05/970,789","Dunham-Bush, Inc.",25517520,F24D 11/003 (20130101); F24D 11/0221 (20130101); F24D 11/0264 (20130101); F24F 3/001 (20130101); Y02B 30/13 (20180501); Y02B 10/20 (20130101); Y02B 10/70 (20130101); Y02B 30/125 (20180501),"December 18, 1978","January 6, 1981","4,242,872",#4242872,True
4,,"06/024,357",Carrier Corporation,21820168,F24F 1/02 (20130101); Y10S 62/16 (20130101),"March 27, 1979","January 6, 1981","4,242,876",#4242876,True
5,,"06/049,542",Aktiebolaget Electrolux,20335240,F25B 49/04 (20130101),"June 18, 1979","January 6, 1981","4,242,879",#4242879,True
6,,"06/042,054",,21919818,A44C 7/003 (20130101),"May 24, 1979","*     January 6, 1981","4,242,886",#4242886,True
7,,"06/052,096",Aerovironment Inc.,21975447,G01N 1/2202 (20130101); G01N 2001/2223 (20130101); G01N 1/24 (20130101),"June 26, 1979","January 6, 1981","4,242,908",#4242908,True
8,,"05/929,009","Renner and Lovelace, Inc.",25457170,F15B 15/125 (20130101); F16J 10/02 (20130101); F15B 15/1466 (20130101),"July 28, 1978","January 6, 1981","4,242,947",#4242947,True
9,,"06/052,811",Royston Manufacturing Corporation,21980056,A47F 5/103 (20130101),"June 27, 1979","January 6, 1981","4,242,970",#4242970,True
10,,"06/036,651",,21889840,A47F 11/04 (20130101); A47F 7/02 (20130101),"May 7, 1979","January 6, 1981","4,242,971",#4242971,True
11,,"06/080,072",Janome Sewing Machine Co. Ltd.,14882059,G05B 19/10 (20130101); G05B 19/106 (20130101); D05B 19/08 (20130101); D05B 19/10 (20130101); G05B 2219/23427 (20130101),"September 28, 1979","January 6, 1981","4,242,973",#4242973,True
12,,"05/946,462",Robert Bosch GmbH,6021590,F02B 19/12 (20130101); F02B 1/04 (20130101); Y02T 10/125 (20130101),"September 27, 1978","January 6, 1981","4,242,990",#4242990,True
13,,"06/029,987",,21851950,A61M 16/0072 (20130101),"April 16, 1979","January 6, 1981","4,243,029",#4243029,True
14,,"06/023,291",,21814213,A61B 17/32 (20130101); A61B 17/00 (20130101),"March 23, 1979","January 6, 1981","4,243,038",#4243038,True
15,,"05/933,989",,25464765,F16K 17/0453 (20130101); F16K 17/085 (20130101); Y10T 137/7836 (20150401); Y10T 137/7895 (20150401),"August 16, 1978","January 6, 1981","4,243,070",#4243070,True
16,,"05/960,250","Pritelli, S.p.A.",27272573,B23C 3/305 (20130101); B27G 5/00 (20130101); B27M 1/08 (20130101); Y10T 83/446 (20150401); Y10T 408/352 (20150115); Y10T 83/541 (20150401); Y10T 83/4645 (20150401); Y10T 29/5196 (20150115); Y10T 29/5124 (20150115); Y10T 83/7493 (20150401),"November 13, 1978","January 6, 1981","4,243,081",#4243081,True
17,,"06/035,930","Occidental Oil Shale, Inc.",21885605,E21B 43/247 (20130101); F04B 35/06 (20130101); E21C 41/24 (20130101),"May 4, 1979","January 6, 1981","4,243,100",#4243100,True
18,,"06/085,000",,4115121,E06C 1/525 (20130101); E06C 9/14 (20130101); E06C 1/56 (20130101),"October 15, 1979","January 6, 1981","4,243,121",#4243121,True
19,,"05/895,150",A. L. Lee Corporation,27106958,B60T 11/103 (20130101); B60T 13/12 (20130101); B60T 13/22 (20130101); B60T 17/18 (20130101); B60W 10/18 (20130101); B60W 30/18 (20130101); B60W 10/04 (20130101); E21F 13/025 (20130101); Y10T 477/373 (20150115); B60W 2710/182 (20130101),"April 10, 1978","January 6, 1981","4,243,126",#4243126,True
20,,"06/019,669",,21794426,B65G 15/00 (20130101); B65G 15/28 (20130101); B65G 2201/04 (20130101),"March 12, 1979","January 6, 1981","4,243,136",#4243136,True
21,,"06/011,908",Agricultural Research and Development Inc.,21752471,B65G 25/08 (20130101); A01K 1/0128 (20130101),"February 13, 1979","January 6, 1981","4,243,137",#4243137,True
22,,"06/028,760","Olinkraft, Inc.",21845271,B65D 71/0077 (20130101); B65D 2571/00141 (20130101); B65D 2571/00388 (20130101); B65D 2571/00419 (20130101); B65D 2571/00956 (20130101); B65D 2571/00524 (20130101); B65D 2571/0066 (20130101); B65D 2571/00802 (20130101); B65D 2571/00487 (20130101),"April 10, 1979","January 6, 1981","4,243,138",#4243138,True
