,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"07/031,426","Rock Island, IL","Machine Research Company, Inc.",21859392,B23Q 1/03 (20130101); B23Q 3/157 (20130101); B23Q 7/1426 (20130101); B23Q 7/1489 (20130101); B23Q 2003/1558 (20130101); Y10T 483/1738 (20150115); Y10T 29/5124 (20150115); Y10T 483/165 (20150115); Y10T 29/5196 (20150115),"March 26, 1987","January 3, 1989","4,794,686",#4794686,True
1,,"06/943,170",,,25479196,B26D 3/085 (20130101); B26D 5/00 (20130101); B26D 5/005 (20130101); B26D 5/02 (20130101); B26D 5/20 (20130101); B26D 7/2628 (20130101); B44B 3/009 (20130101); G06K 15/22 (20130101); B26D 2007/2678 (20130101),"December 18, 1986","January 3, 1989","4,794,698",#4794698,True
2,,"07/118,980","Tampa, FL","Showboard, Inc.",26816941,G09F 15/0062 (20130101),"November 10, 1987","January 3, 1989","4,794,712",#4794712,True
3,,"07/178,138",,,4208305,A01K 91/06 (20130101),"April 6, 1988","January 3, 1989","4,794,722",#4794722,True
4,,"07/186,917","Eugene, OR","Oak Stump Farm, Inc.",22686822,A01M 1/02 (20130101); A01M 1/04 (20130101); A01M 1/106 (20130101); A01M 2200/012 (20130101),"April 27, 1988","January 3, 1989","4,794,724",#4794724,True
5,,"06/848,480","Tilburg, NL",Van Doorne's Transmissie B.V.,19845829,B24C 1/00 (20130101); F16G 5/16 (20130101); F16G 5/163 (20130101),"April 7, 1986","January 3, 1989","4,794,741",#4794741,True
6,,"07/019,925",,,21795792,E04B 5/12 (20130101); E04C 3/02 (20130101); E04C 2003/026 (20130101),"February 27, 1987","January 3, 1989","4,794,746",#4794746,True
7,,"06/945,564","Tokyo, JPHitachi Cable, Ltd.","Hitachi, Ltd.",14904906,B21C 37/207 (20130101); F28F 1/42 (20130101); F28F 1/422 (20130101); F28F 1/426 (20130101); F28F 13/185 (20130101); Y10T 29/49265 (20150115); Y10T 29/49382 (20150115),"December 23, 1986","January 3, 1989","4,794,775",#4794775,True
8,,"07/012,057",,,8520625,G01N 3/24 (20130101); G01N 33/383 (20130101); G01N 2203/0085 (20130101); G01N 2033/0091 (20130101),"August 3, 1987","January 3, 1989","4,794,799",#4794799,True
9,,"07/113,041","Palo Alto, CA",Hewlett-Packard Company,22347286,B41J 13/106 (20130101); B65H 29/34 (20130101); B41J 11/002 (20130101),"October 23, 1987","January 3, 1989","4,794,859",#4794859,True
10,,"07/118,042","Hyogo, JP",Kawasaki Jukogyo Kaisha,15967831,F02B 61/045 (20130101); F02P 5/155 (20130101); F02P 11/06 (20130101); F02P 15/008 (20130101); F02B 2075/025 (20130101); Y02T 10/46 (20130101),"November 9, 1987","January 3, 1989","4,794,897",#4794897,True
11,,"07/038,009",N/A,Pierburg GmbH,6299299,F02B 33/36 (20130101); F02M 69/044 (20130101),"April 14, 1987","January 3, 1989","4,794,904",#4794904,True
12,,"07/055,318","Berlin and Munich, DE",Siemens Aktiengesellschaft,6302321,G10K 9/12 (20130101),"May 29, 1987","January 3, 1989","4,794,914",#4794914,True
13,,"07/074,300",,,22118844,A61F 6/04 (20130101); A61F 6/065 (20130101),"July 14, 1987","January 3, 1989","4,794,920",#4794920,True
14,,"07/005,143","Cleveland, OH",The Cleveland Clinic Foundation,21714397,A61F 2/04 (20130101); A61F 2/203 (20130101),"January 20, 1987","January 3, 1989","4,794,924",#4794924,True
15,,"07/121,129","Cokato, MN",Raydot Incorporated,22394738,F24F 12/001 (20130101); F28D 7/106 (20130101); F28F 13/12 (20130101); F28F 21/062 (20130101); F28F 21/082 (20130101); F28F 21/084 (20130101); Y02B 30/563 (20130101),"November 16, 1987","January 3, 1989","4,794,980",#4794980,True
16,,"07/077,695","Batavia, IL","Zeftek, Inc.",22139539,B61H 13/34 (20130101),"July 24, 1987","January 3, 1989","4,795,007",#4795007,True
17,,"07/060,808","Cincinnati, OH",Cincinnati Milacron Inc.,26740383,B29C 49/4205 (20130101); B29C 49/4215 (20130101); B29C 49/06 (20130101); B29C 49/56 (20130101); B29C 2049/5806 (20130101); B29C 2049/581 (20130101); B29C 2049/5827 (20130101); B29C 2049/4294 (20130101),"June 12, 1987","January 3, 1989","4,795,023",#4795023,True
18,,"07/072,800","New Hope, MN",Liberty Diversified Industries,22109831,A47B 47/02 (20130101); A47B 57/58 (20130101); B07C 7/02 (20130101),"July 13, 1987","January 3, 1989","4,795,042",#4795042,True
19,,"06/749,983",,,25016037,A44B 99/00 (20130101); A44C 3/001 (20130101),"July 1, 1985","January 3, 1989","4,795,069",#4795069,True
20,,"07/053,628",,,4237519,A63B 22/0061 (20130101); A63B 23/0488 (20130101); A63B 69/0022 (20130101); A63B 22/20 (20130101),"May 26, 1987","January 3, 1989","4,795,146",#4795146,True
21,,"07/161,409","Opelika, AL",Diversified Products Corporation,26857802,A63B 22/0076 (20130101); A63B 23/03533 (20130101); A63B 23/12 (20130101); A63B 23/03541 (20130101); A63B 21/4033 (20151001); A63B 21/4047 (20151001); A63B 23/1209 (20130101); A63B 21/0083 (20130101); A63B 22/0023 (20130101); A63B 22/0089 (20130101); A63B 2022/0084 (20130101); A63B 23/03575 (20130101),"February 23, 1988","January 3, 1989","4,795,147",#4795147,True
22,,"07/028,492","Hoffman Estates, IL",Right Way Golf,21843740,A63B 53/0487 (20130101); A63B 53/14 (20130101); A63B 69/3685 (20130101); A63B 60/10 (20151001); A63B 53/007 (20130101); A63B 2053/0462 (20130101); A63B 2053/0408 (20130101),"March 20, 1987","January 3, 1989","4,795,158",#4795158,True
23,,"07/068,661",GB2,Crane Packing Limited,10600646,F16J 15/3464 (20130101); Y10S 277/93 (20130101),"July 1, 1987","January 3, 1989","4,795,169",#4795169,True
24,,"07/150,838",,,22536197,A41D 13/1236 (20130101); A61F 5/3792 (20130101); A61G 5/10 (20130101); A61G 2200/54 (20130101); Y10S 297/04 (20130101),"February 1, 1988","January 3, 1989","4,795,176",#4795176,True
25,,"07/089,412",NO,Den norske stats Oljeselskap A/S and Liaaen Engineering A/S,19889167,E21B 33/038 (20130101); F16L 37/002 (20130101); Y10S 285/92 (20130101); Y10S 285/912 (20130101),"August 26, 1987","January 3, 1989","4,795,198",#4795198,True
26,,"07/029,046",JP,Kabushiki Kaisha Sankodo,27309278,A45C 5/14 (20130101); A45C 13/26 (20130101); A45F 3/04 (20130101); A45F 3/14 (20130101); A45F 5/00 (20130101); A45F 2005/006 (20130101); Y10T 24/3969 (20150115); Y10T 24/4088 (20150115); Y10T 24/4019 (20150115); Y10T 24/4079 (20150115),"March 23, 1987","January 3, 1989","4,795,204",#4795204,True
27,,"06/915,400",,,25435669,G02B 5/09 (20130101); G02B 26/108 (20130101); G06K 7/10693 (20130101); G06K 7/10871 (20130101),"October 6, 1986","January 3, 1989","4,795,224",#4795224,True
28,,"07/023,588","Minneapolis, MN",Honeywell Inc.,21816052,G02B 6/2726 (20130101); Y10S 359/90 (20130101),"March 9, 1987","January 3, 1989","4,795,233",#4795233,True
29,,"06/770,051",JP,Olympus Optical Company Ltd.,27475093,G02B 3/14 (20130101); G02C 7/08 (20130101); G02C 7/083 (20130101); G02C 7/101 (20130101); G02F 1/13306 (20130101); G02F 1/29 (20130101); G02F 2001/294 (20130101),"August 27, 1985","January 3, 1989","4,795,248",#4795248,True
30,,"07/024,237","Norwalk, CT",The Perkin-Elmer Corporation,21819560,G01J 3/36 (20130101),"March 10, 1987","January 3, 1989","4,795,257",#4795257,True
31,,"06/931,269","Pasadena, CA",California Institute of Technology,25460497,B25J 13/02 (20130101); G05G 1/02 (20130101); G05G 1/06 (20130101); G05G 5/03 (20130101); G05G 9/047 (20130101); Y10T 74/20396 (20150115); Y10T 74/20612 (20150115),"November 17, 1986","January 3, 1989","4,795,296",#4795296,True
32,,"07/125,974","Syracuse, NY",Carrier Corporation,22422350,F04C 29/0021 (20130101); F04C 29/023 (20130101),"November 27, 1987","January 3, 1989","4,795,322",#4795322,True
33,,"07/150,747",,,27167746,B29C 45/27 (20130101); B29C 45/2735 (20130101); B29C 2045/274 (20130101); B29C 2045/2774 (20130101); B29C 2045/2782 (20130101); B29C 2045/2783 (20130101),"February 1, 1988","January 3, 1989","4,795,337",#4795337,True
34,,"06/852,352","Elwood, IN",Terronics Development Corp.,27118801,B05B 5/14 (20130101); B05B 7/1445 (20130101),"April 15, 1986","*     January 3, 1989","4,795,339",#4795339,True
