,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"11/199,146",H.K. Ltd.,SAE Magnetics,35908296,B23K 1/0016 (20130101); B23K 1/018 (20130101); G11B 5/4826 (20130101); Y10T 29/49144 (20150115); Y10T 29/49041 (20150115); B23K 2101/42 (20180801); Y10T 29/4903 (20150115); Y10T 29/49023 (20150115); Y10T 29/49149 (20150115); Y10T 29/49025 (20150115),"August 9, 2005","January 5, 2010","7,640,649",#7640649,True
1,,"12/167,262",,,41460229,B43K 23/10 (20130101); B43L 9/02 (20130101); B43L 9/20 (20130101); B43L 9/24 (20130101); B43L 9/245 (20130101),"July 3, 2008","January 5, 2010","7,640,671",#7640671,True
2,,"11/755,214","Bad Saulgau, DE",Claas Saulgau GmbH,38197876,A01D 43/082 (20130101),"May 30, 2007","January 5, 2010","7,640,718",#7640718,True
3,,"10/543,424",,,34078449,B01D 53/02 (20130101); F02B 43/10 (20130101); F02C 3/20 (20130101); Y02T 10/32 (20130101),"June 20, 2003","January 5, 2010","7,640,739",#7640739,True
4,,"11/237,560","Federal Way, WA",Weyerhaeuser NR Company,37852943,B27N 3/20 (20130101); B30B 1/266 (20130101); B30B 7/04 (20130101),"September 28, 2005","January 5, 2010","7,640,854",#7640854,True
5,,"11/601,716","Maassluis, NL",Maasland N.V.,36579900,A01K 1/0017 (20130101); A01K 1/0023 (20130101),"November 20, 2006","January 5, 2010","7,640,891",#7640891,True
6,,"11/832,602","Houston, TX","Halliburton Energy Services, Inc.",40304742,E21B 33/138 (20130101); E21B 43/261 (20130101),"August 1, 2007","January 5, 2010","7,640,982",#7640982,True
7,,"11/478,238","Cleveland, OH","Cleveland Track Material, Inc.",38834905,E01B 9/60 (20130101),"June 29, 2006","January 5, 2010","7,641,128",#7641128,True
8,,"11/632,659","San Pietro Mosezo, Novara, IT",No. El. S.r.l.,34967550,B65H 19/2276 (20130101); B65H 2406/11 (20130101),"May 18, 2005","January 5, 2010","7,641,141",#7641141,True
9,,"11/379,731","Syracuse, NY",Syracuse University,36659992,B64C 3/141 (20130101); B64C 11/006 (20130101); B64C 21/06 (20130101); B64C 23/02 (20130101); B64C 39/005 (20130101); B64D 27/02 (20130101); B64C 2003/143 (20130101); B64C 2003/147 (20130101); B64C 2039/105 (20130101); Y02T 50/12 (20130101); Y02T 50/166 (20130101); B64C 2230/06 (20130101); B64C 2230/04 (20130101),"April 21, 2006","January 5, 2010","7,641,144",#7641144,True
10,,"11/435,521","Tokyo, JP",Japan Aerospace Exploration Agency,37541284,B64G 1/405 (20130101); B64G 1/406 (20130101); F03H 1/0012 (20130101),"May 16, 2006","January 5, 2010","7,641,150",#7641150,True
11,,"10/822,443",,,34375193,A61G 3/061 (20130101); B60G 3/145 (20130101); B60G 7/02 (20130101); B60G 11/16 (20130101); B62D 25/20 (20130101); B60G 2200/132 (20130101); B60G 2202/12 (20130101); B60G 2204/1244 (20130101); B60G 2204/143 (20130101); B60G 2204/41 (20130101); B60G 2206/10 (20130101); B60G 2206/11 (20130101); B60G 2800/202 (20130101); Y10T 29/49716 (20150115); Y10S 414/134 (20130101),"April 12, 2004","January 5, 2010","7,641,209",#7641209,True
12,,"12/168,699","McPherson, KS","Femco, Inc.",41460271,B60R 21/13 (20130101),"July 7, 2008","January 5, 2010","7,641,234",#7641234,True
13,,"11/467,554","London, GB",NMI Safety Systems Ltd.,35335306,B60N 2/01 (20130101); B60N 2/0284 (20130101); B60N 2/06 (20130101); B60N 2/3097 (20130101); B60N 2/0702 (20130101); B60N 2/14 (20130101); B60N 2/245 (20130101); B60N 2/062 (20130101),"August 26, 2006","January 5, 2010","7,641,257",#7641257,True
