,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"09/175,104",,,22638914,A45C 13/262 (20130101); Y10S 16/90 (20130101); Y10T 16/451 (20150115),"October 19, 1998","January 4, 2000","6,009,598",#6009598,True
1,,"09/155,872",NL,"Adidas International, B.V.",8035590,A43B 5/14 (20130101),"October 16, 1998","January 4, 2000","6,009,641",#6009641,True
2,,"09/156,623","Kobe, JP",Kabushiki Kaisha Kobe Seiko Sho,24590155,E02F 3/384 (20130101); E02F 9/0875 (20130101); E02F 9/0883 (20130101); E02F 9/16 (20130101),"September 18, 1998","January 4, 2000","6,009,643",#6009643,True
3,,"09/041,093","Ebersbach/Fils, DE",Zinser TextilMaschinen GmbH,7823205,D01H 13/04 (20130101); D01H 13/16 (20130101),"March 12, 1998","January 4, 2000","6,009,698",#6009698,True
4,,"08/987,400",S.A.R.L.,Cousin Biotech,9512547,A63B 51/02 (20130101); D07B 1/02 (20130101); D07B 2201/2048 (20130101),"December 9, 1997","January 4, 2000","6,009,699",#6009699,True
5,,"09/196,931",KR,LG Electronics Inc.,19528848,F25B 31/006 (20130101),"November 20, 1998","January 4, 2000","6,009,722",#6009722,True
6,,"07/623,324","Washington, DC",The United States of America as represented by the Secretary of the Navy,24497645,G06F 17/5018 (20130101); G06F 2217/16 (20130101),"December 5, 1990","January 4, 2000","6,009,741",#6009741,True
7,,"08/850,139","Malvern, PA","Ultrafast, Inc.",21777775,G01L 5/246 (20130101); F16B 31/02 (20130101); G01N 2291/02827 (20130101),"May 2, 1997","January 4, 2000","6,009,759",#6009759,True
8,,"09/032,199","Cincinnati, OH",The Procter & Gamble Company,21863637,B26D 1/405 (20130101); B26D 5/02 (20130101); B26D 7/2614 (20130101); B26F 1/20 (20130101); Y10T 83/9314 (20150401); Y10T 83/4824 (20150401); Y10T 83/9469 (20150401); Y10T 83/4708 (20150401); Y10T 83/0515 (20150401),"February 27, 1998","January 4, 2000","6,009,781",#6009781,True
9,,"09/192,178","London, GB",Broadsuper Limited,10793601,F01B 9/02 (20130101); F02B 75/32 (20130101); F02B 75/048 (20130101); F02B 41/00 (20130101),"November 10, 1998","January 4, 2000","6,009,845",#6009845,True
10,,"09/203,171","Esslingen, DE",F + F Filter- Und Foerdertechnik GmbH,7850282,B01D 21/0024 (20130101); B01D 21/24 (20130101); B23Q 1/0009 (20130101); B23Q 11/10 (20130101); B67D 7/0238 (20130101); B01D 21/34 (20130101); B67D 7/0277 (20130101); Y10T 137/0318 (20150401); Y10T 137/3124 (20150401); Y10T 137/3127 (20150401); Y10T 137/3109 (20150401),"November 30, 1998","January 4, 2000","6,009,892",#6009892,True
11,,"09/286,681","Monticello, AR","The Price Companies, Inc.",23099696,B02C 17/04 (20130101); B02C 17/1825 (20130101); B27L 1/025 (20130101); Y10S 241/30 (20130101),"April 5, 1999","January 4, 2000","6,009,921",#6009921,True
12,,"09/132,212",,,22452988,A47G 27/0487 (20130101); B66C 19/02 (20130101); Y10T 156/1788 (20150115); Y10T 156/1795 (20150115),"August 11, 1998","January 4, 2000","6,009,927",#6009927,True
13,,"08/872,115","Dallas, TX","Halliburton Energy Services, Inc.",25358872,E21B 23/03 (20130101); E21B 23/002 (20130101),"June 10, 1997","January 4, 2000","6,009,942",#6009942,True
14,,"08/866,603","Fort Worth, TX","Bell Helicopter TEXTRON, Inc.",25347972,F16F 7/10 (20130101); F16F 7/112 (20130101); F16F 9/10 (20130101); F16F 9/3405 (20130101); F16F 13/08 (20130101); F16F 13/24 (20130101),"May 30, 1997","January 4, 2000","6,009,983",#6009983,True
15,,"09/145,350","Lengerich, DE",Bischof und Klein GmbH & Co.,8045597,B65D 33/14 (20130101); B65D 75/56 (20130101); B65D 77/30 (20130101); Y10S 206/804 (20130101); Y10S 206/806 (20130101),"September 1, 1998","January 4, 2000","6,010,004",#6010004,True
16,,"08/904,445","Heidenheim, DE",Voith Sulzer Papiermaschinen GmbH,8027274,B05C 11/10 (20130101); D21H 23/32 (20130101); Y10S 101/45 (20130101),"July 31, 1997","January 4, 2000","6,010,078",#6010078,True
17,,"09/193,350",,,22713293,B01D 46/0012 (20130101); B01D 46/003 (20130101); B05B 7/2416 (20130101); B05B 12/008 (20130101); Y10S 239/14 (20130101); Y10S 239/23 (20130101),"November 17, 1998","January 4, 2000","6,010,082",#6010082,True
18,,"09/151,472","Akron, OH",RJS Corporation,22538922,B65H 59/04 (20130101),"September 11, 1998","January 4, 2000","6,010,089",#6010089,True
19,,"09/083,178","Eschenbach, CH",Sistag Absperrtechnik,25687164,F15B 1/02 (20130101); F16K 31/122 (20130101),"May 22, 1998","January 4, 2000","6,010,112",#6010112,True
20,,"09/067,090","Exton, PA","Vanguard Identification Systems, Inc.",46254884,B42D 5/027 (20130101); B42D 15/00 (20130101); G07B 17/00508 (20130101); B42D 25/00 (20141001); B42D 25/45 (20141001); B42D 15/08 (20130101); B42D 2035/16 (20130101); G07B 2017/00588 (20130101); G07B 2017/0062 (20130101); B42D 25/47 (20141001),"April 27, 1998","January 4, 2000","6,010,159",#6010159,True
21,,"08/809,146","Courbevoie, FR",Saint-Gobain Vitrage,9481464,B60J 1/14 (20130101); E05D 1/06 (20130101); E05Y 2900/148 (20130101),"May 14, 1997","January 4, 2000","6,010,180",#6010180,True
22,,"09/056,789",,,22006593,F21V 17/06 (20130101); F21V 21/08 (20130101); F21S 4/10 (20160101); Y10S 362/806 (20130101),"April 8, 1998","January 4, 2000","6,010,236",#6010236,True
23,,"09/140,885","Rochester, NY",Eastman Kodak Company,22493241,G03B 17/26 (20130101),"August 27, 1998","January 4, 2000","6,010,253",#6010253,True
24,,"08/952,971","Tokyo, JP",Sony Corporation,13944886,B41J 2/325 (20130101); B41J 31/00 (20130101); B41M 5/52 (20130101),"March 2, 1998","January 4, 2000","6,010,258",#6010258,True
25,,"08/974,789","Rockford, IL",Haldex Barnes Corporation,25522443,F04C 13/00 (20130101); F04C 14/28 (20130101); F04C 15/0038 (20130101); F04C 15/0088 (20130101),"November 20, 1997","January 4, 2000","6,010,321",#6010321,True
26,,"09/170,325",,,9451220,A61C 13/0003 (20130101); A61C 13/09 (20130101); A61C 5/70 (20170201); A61C 5/77 (20170201); A61C 5/73 (20170201); A61C 13/083 (20130101); A61C 13/087 (20130101),"October 13, 1998","January 4, 2000","6,010,337",#6010337,True
27,,"09/115,972","Wilmington, DE",The Whitaker Corporation,26732959,H01F 27/29 (20130101); H01R 4/242 (20130101); H01R 4/245 (20130101),"July 15, 1998","January 4, 2000","6,010,362",#6010362,True
28,,"08/928,349","Hector, MN","Communications Systems, Inc.",25456123,H01R 13/6477 (20130101),"September 12, 1997","January 4, 2000","6,010,372",#6010372,True
29,,"09/032,474","Kyoto, JP","Murata Manufacturing Co., Ltd.",12987824,H01C 7/008 (20130101); H01C 17/22 (20130101); Y10T 29/43 (20150115); Y10T 29/435 (20150115),"February 26, 1998","January 4, 2000","6,010,393",#6010393,True
30,,"08/965,095","Hyogo-ken, JP","Sumitomo Rubber Industries, Ltd.",17797847,A63B 37/0003 (20130101); A63B 37/0047 (20130101); A63B 37/0066 (20130101); A63B 37/0075 (20130101),"November 6, 1997","January 4, 2000","6,010,412",#6010412,True
31,,"08/990,719",,,27057651,A63B 67/14 (20130101),"December 15, 1997","January 4, 2000","6,010,418",#6010418,True
32,,"09/012,416",,,21754869,B62M 1/28 (20130101); A63B 22/0056 (20130101); A63B 22/20 (20130101); A63B 23/0429 (20130101),"January 23, 1998","January 4, 2000","6,010,433",#6010433,True
33,,"09/086,052","Franklin Lakes, NJ",Becton Dickinson and Company,22195933,B65B 9/042 (20130101); B65D 75/368 (20130101); B65D 77/245 (20130101); B65D 2575/365 (20130101),"May 28, 1998","January 4, 2000","6,010,462",#6010462,True
34,,"08/964,293","Danbury, CT","Praxair Technology, Inc.",25508369,B01D 53/0476 (20130101); B01D 53/0431 (20130101); B01D 53/0446 (20130101); B01D 2259/4533 (20130101); B01D 2259/40075 (20130101); B01D 2259/402 (20130101); B01D 2256/12 (20130101),"November 4, 1997","January 4, 2000","6,010,555",#6010555,True
35,,"09/066,008","Scotts Valley, CA","Seagate Technology, Inc.",26746263,B01D 53/0415 (20130101); B01D 53/02 (20130101); B01D 2253/25 (20130101); B01D 2253/308 (20130101); B01D 2257/702 (20130101),"April 24, 1998","January 4, 2000","6,010,557",#6010557,True
36,,"09/141,065","Hsin-Chu, TW","Taiwan Semiconductor Manufacturing Company, Ltd.",22494017,B08B 9/0808 (20130101),"August 27, 1998","January 4, 2000","6,010,576",#6010576,True
37,,"08/477,689","Neenah, WI",Kimberly-Clark Corporation,23006545,B05B 1/30 (20130101); B05B 17/0607 (20130101); B05B 17/0623 (20130101); D01D 1/04 (20130101); D01D 5/247 (20130101); F02M 27/08 (20130101); B29C 48/14 (20190201); F02M 69/041 (20130101); F23D 11/34 (20130101); F23D 11/345 (20130101); B29C 48/05 (20190201); F02M 43/04 (20130101); B29C 48/08 (20190201),"June 7, 1995","January 4, 2000","6,010,592",#6010592,True
38,,"09/089,512","Danbury, CT","Praxair Technology, Inc.",22218047,B01D 53/22 (20130101); B01J 19/2475 (20130101); C01B 3/36 (20130101); C01B 3/382 (20130101); C01B 13/0251 (20130101); C01B 2210/0046 (20130101),"June 3, 1998","January 4, 2000","6,010,614",#6010614,True
39,,"08/836,914",DE,Merck Patent Gesellschaft mit beschrankter Haftung,8216502,C07C 69/013 (20130101); C07C 69/92 (20130101); C07C 69/94 (20130101); C09K 19/2021 (20130101); C09K 19/3068 (20130101); C09K 19/322 (20130101); C09K 19/38 (20130101); C09K 2019/0448 (20130101); C09K 2019/3095 (20130101),"May 23, 1997","January 4, 2000","6,010,643",#6010643,True
40,,"09/039,767",JP,Kabushiki Kaisha Ohara,27317205,C03C 4/12 (20130101); C09K 11/7734 (20130101); C09K 11/7735 (20130101); C09K 11/7792 (20130101); C09K 11/7793 (20130101); C09K 11/7797 (20130101); C03C 3/095 (20130101); C03C 10/0036 (20130101),"March 16, 1998","January 4, 2000","6,010,644",#6010644,True
41,,"08/820,140","Henderson, NV","Valence Technology, Inc.",25229997,B29C 41/16 (20130101); H01M 4/04 (20130101); H01M 4/0402 (20130101); H01M 4/0404 (20130101); H01M 4/0416 (20130101); H01M 4/0435 (20130101); H01M 4/623 (20130101); H01M 10/0525 (20130101); B29C 33/68 (20130101); B29L 2031/3061 (20130101); Y10T 29/49114 (20150115),"March 19, 1997","January 4, 2000","6,010,653",#6010653,True
42,,"09/264,659","Portland, OR","Oxis International, Inc.",23007063,A61K 8/498 (20130101); A61K 31/341 (20130101); A61K 31/4709 (20130101); A61Q 17/04 (20130101); A61Q 19/08 (20130101),"March 8, 1999","January 4, 2000","6,010,685",#6010685,True
43,,"08/947,164","Tokyo, JP",Takasago International Corporation,17680204,A61K 8/97 (20130101); A61K 36/185 (20130101); A61K 36/28 (20130101); A61K 36/48 (20130101); A61K 36/53 (20130101); A61K 36/896 (20130101); A61K 36/898 (20130101); A61Q 19/00 (20130101); A61Q 19/08 (20130101); A61Q 5/02 (20130101); A61Q 19/10 (20130101),"October 8, 1997","January 4, 2000","6,010,701",#6010701,True
44,,"08/755,007","Raleigh, NC",Closure Medical Corporation,25037313,A61L 24/0042 (20130101); A61L 24/001 (20130101),"November 22, 1996","January 4, 2000","6,010,714",#6010714,True
45,,"08/458,675","Kalamazoo, MI","Kalamazoo Holdings, Inc.",23821677,A23K 40/30 (20160501); A23P 20/11 (20160801); A23P 20/18 (20160801); A23L 7/122 (20160801); A23L 19/18 (20160801); A23L 33/115 (20160801); A23L 25/25 (20160801),"June 2, 1995","January 4, 2000","6,010,726",#6010726,True
46,,"09/023,676","Utsunomiya, JP","Rheon Automatic Machinery Co., Ltd.",12876130,A21C 3/065 (20130101),"February 13, 1998","January 4, 2000","6,010,730",#6010730,True
47,,"09/128,945",BE,Raffinerie Tirlemontoise,27507779,A23G 1/325 (20130101); A23G 1/40 (20130101); A23G 1/46 (20130101); A23G 1/48 (20130101),"August 5, 1998","January 4, 2000","6,010,735",#6010735,True
48,,"08/817,358","Tokyo, JP","Nippon Zeon Co., Ltd.",27283350,G03F 7/039 (20130101); G03F 7/0045 (20130101),"April 11, 1997","January 4, 2000","6,010,826",#6010826,True
49,,"09/203,796","La Jolla, CA",The Salk Institute for Biological Studies,22937565,C07K 14/005 (20130101); C07K 14/46 (20130101); C12N 15/62 (20130101); C12N 15/90 (20130101); C12Q 1/68 (20130101); C07K 2319/00 (20130101); C07K 2319/10 (20130101); C07K 2319/21 (20130101); C07K 2319/42 (20130101); C07K 2319/50 (20130101); C07K 2319/73 (20130101); C07K 2319/80 (20130101); C07K 2319/81 (20130101); C12N 2740/15022 (20130101); C12N 2740/16222 (20130101),"December 1, 1998","January 4, 2000","6,010,860",#6010860,True
50,,"07/841,707","San Diego, CAShin-Etsu Chemical Co., Ltd.","Shin-Etsu Bio, Inc.",25109429,C12P 19/10 (20130101); C12R 1/645 (20130101); Y10S 435/911 (20130101),"February 26, 1992","January 4, 2000","6,010,899",#6010899,True
51,,"08/061,928","Boxborough, MA",Cytyc Corporation,27049086,C12M 41/36 (20130101); G01N 15/0272 (20130101); G01N 1/2813 (20130101); G01N 1/4077 (20130101); G01N 2015/0662 (20130101); Y10T 436/25375 (20150115); Y10T 436/255 (20150115),"May 13, 1993","January 4, 2000","6,010,909",#6010909,True
52,,"08/988,641","Dallas, TX",Texas Instruments Incorporated,26709212,H01L 21/82385 (20130101); H01L 27/0922 (20130101),"December 11, 1997","January 4, 2000","6,010,929",#6010929,True
53,,"08/914,169","Tokyo, JP",NEC Corporation,26520320,H01L 21/31116 (20130101); H01L 27/11546 (20130101); H01L 27/11526 (20130101); H01L 21/31144 (20130101),"August 19, 1997","January 4, 2000","6,010,946",#6010946,True
54,,"08/787,992","Milpitas, CA",LSI Logic Corporation,25143119,H01L 21/26586 (20130101); H01L 21/28176 (20130101); H01L 21/28518 (20130101); H01L 29/665 (20130101); H01L 29/66575 (20130101),"January 23, 1997","January 4, 2000","6,010,952",#6010952,True
55,,"09/130,920","Santa Clara, CA","Applied Materials, Inc.",22446982,H01L 21/32136 (20130101),"August 7, 1998","January 4, 2000","6,010,966",#6010966,True
56,,"09/220,541","Taipei, TW",United Microelectronics Corp.,22823948,H01L 21/31116 (20130101),"December 24, 1998","January 4, 2000","6,010,968",#6010968,True
57,,"08/864,545","Baltimore, MD",Guilford Pharmaceuticals Inc.,27418138,A61K 31/665 (20130101); A61K 31/66 (20130101); C07F 9/3826 (20130101); A61K 31/00 (20130101); A61K 31/661 (20130101); A61K 31/67 (20130101); A61K 31/662 (20130101); C07F 9/301 (20130101); C07F 9/3808 (20130101); A61K 31/675 (20130101); A61K 31/664 (20130101),"May 28, 1997","January 4, 2000","6,011,021",#6011021,True
58,,"08/353,784","Salt Lake City, UTThe Brigham and Women's Hospital","NPS Pharmaceuticals, Inc.",27573953,C07C 217/62 (20130101); C07C 225/16 (20130101); C07C 229/38 (20130101); C07C 233/05 (20130101); C07C 255/58 (20130101); C07C 317/32 (20130101); C07C 323/32 (20130101); C07D 209/14 (20130101); C07D 209/16 (20130101); C07D 209/18 (20130101); C07D 213/38 (20130101); C07D 233/64 (20130101); C07D 319/18 (20130101); C07K 14/705 (20130101); G01N 33/5008 (20130101); G01N 33/502 (20130101); G01N 33/5044 (20130101); G01N 33/5091 (20130101); G01N 33/566 (20130101); G01N 33/567 (20130101); G01N 33/6872 (20130101); G01N 33/6893 (20130101); G01N 33/84 (20130101); A61K 31/13 (20130101); A61K 31/135 (20130101); A61K 31/137 (20130101); A61K 31/165 (20130101); A61K 31/195 (20130101); A61K 31/215 (20130101); A61K 31/275 (20130101); A61K 31/335 (20130101); A61K 31/34 (20130101); A61K 31/35 (20130101); A61K 31/36 (20130101); A61K 31/38 (20130101); A61K 31/395 (20130101); A61K 31/40 (20130101); A61K 31/415 (20130101); A61K 31/425 (20130101); A61K 31/44 (20130101); A61K 31/55 (20130101); A61K 31/70 (20130101); A61K 31/715 (20130101); A61K 38/16 (20130101); C07C 211/27 (20130101); C07C 211/29 (20130101); C07C 211/30 (20130101); C07C 211/42 (20130101); C07C 215/52 (20130101); C07C 217/58 (20130101); C07C 217/60 (20130101); G01N 2500/10 (20130101); G01N 2800/04 (20130101); A01K 2227/50 (20130101); C07C 2601/14 (20170501),"December 8, 1994","January 4, 2000","6,011,068",#6011068,True
59,,"09/136,184","Chicago, IL","Morton International, Inc.",22471715,C09D 167/06 (20130101); C09D 167/06 (20130101); C08L 2666/28 (20130101); Y10T 428/31786 (20150401),"August 19, 1998","January 4, 2000","6,011,080",#6011080,True
60,,"09/192,825","Waco, TX",Baylor University,26702104,B32B 15/04 (20130101); B32B 17/06 (20130101); B32B 17/10036 (20130101); B32B 17/10779 (20130101); C03C 27/048 (20130101); C03C 27/10 (20130101); C08G 63/40 (20130101); B32B 7/12 (20130101); C08G 63/18 (20130101); B32B 2311/30 (20130101); Y10T 428/31681 (20150401); Y10T 428/31786 (20150401); B32B 2311/24 (20130101); B32B 2311/12 (20130101),"November 16, 1998","January 4, 2000","6,011,133",#6011133,True
61,,"09/113,502","Osaka, JP","Sumitomo Chemical Company, Limited",16219263,C07C 67/347 (20130101); C07C 67/347 (20130101); C07C 69/747 (20130101),"July 10, 1998","January 4, 2000","6,011,169",#6011169,True
62,,"08/978,965","Rancho Cordova, CA",Aerojet-General Corporation,25526572,C07C 303/40 (20130101); C07C 303/40 (20130101); C07C 311/39 (20130101),"November 26, 1997","January 4, 2000","6,011,177",#6011177,True
63,,"09/124,245","Scott, MS",Delta and Pine Land Company,22413688,A01H 5/10 (20130101),"July 29, 1998","January 4, 2000","6,011,204",#6011204,True
64,,"08/993,064","Troy, MI",United Solar Systems Corporation,25539055,H01L 31/061 (20130101); H01L 31/046 (20141201); H01L 31/056 (20141201); H01L 31/0465 (20141201); Y02E 10/52 (20130101),"December 18, 1997","January 4, 2000","6,011,215",#6011215,True
65,,"09/244,757","Kitasaku, JP","Minebea Co., Ltd.",12168911,H01H 3/125 (20130101); H01H 2233/074 (20130101),"February 5, 1999","January 4, 2000","6,011,227",#6011227,True
66,,"08/985,247","Kanagawa, JP","Fuji Photo Film Co., Ltd.",18336311,H04N 1/047 (20130101); H04N 1/1916 (20130101); H04N 1/1917 (20130101); H04N 2201/04793 (20130101); H04N 1/1911 (20130101); H04N 2201/04729 (20130101); H04N 2201/04789 (20130101); H04N 2201/02425 (20130101); H04N 2201/0471 (20130101); H04N 2201/04731 (20130101); H04N 2201/04732 (20130101); H04N 2201/04734 (20130101); H04N 2201/04744 (20130101); H04N 2201/04746 (20130101); H04N 2201/04781 (20130101); H04N 2201/04791 (20130101); H04N 1/1135 (20130101),"December 4, 1997","January 4, 2000","6,011,256",#6011256,True
67,,"08/975,187","Tokyo, JP",NEC Corporation,18089998,H01L 29/76841 (20130101); H01L 27/14812 (20130101),"November 20, 1997","January 4, 2000","6,011,282",#6011282,True
68,,"08/898,062","Cupertino, CA","Foveonics, Inc.",25408882,G06N 3/0635 (20130101),"July 22, 1997","January 4, 2000","6,011,295",#6011295,True
