,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"07/984,815","Highland, IL",Highland Supply Corporation,27558970,A47G 7/085 (20130101); B31D 5/00 (20130101); Y10T 29/49833 (20150115); Y10T 29/49947 (20150115); Y10T 29/4995 (20150115); Y10T 29/49952 (20150115); Y10T 29/49908 (20150115); Y10T 29/49945 (20150115),"December 3, 1992","*     January 4, 1994","5,274,900",#5274900,True
1,,"07/891,415","Kanagawa, JP","KM Cloth Cutting Machine Co., Ltd.",15601560,B26D 7/24 (20130101); B26D 7/22 (20130101),"May 29, 1992","January 4, 1994","5,274,923",#5274923,True
2,,"07/887,826",JP,"Kabushiki, Kaisha, Matsui, Seisakusho",16434554,G01N 5/045 (20130101); G05D 22/02 (20130101); G01N 31/222 (20130101),"May 26, 1992","January 4, 1994","5,274,931",#5274931,True
3,,"07/933,209","Tokyo, JP","Hitachi, Ltd.",17013748,F25B 15/008 (20130101); F25B 49/043 (20130101); Y02A 30/277 (20180101); Y02B 30/62 (20130101),"August 21, 1992","January 4, 1994","5,275,010",#5275010,True
4,,"07/873,327","Sunnyvale, CA","Abaxis, Inc.",25361417,A23L 3/375 (20130101); B01J 19/06 (20130101); G01N 1/42 (20130101); F26B 5/06 (20130101); F25C 1/00 (20130101),"April 24, 1992","January 4, 1994","5,275,016",#5275016,True
5,,"07/893,714","Russellville, AR","Stark Manufacturing, Inc.",25401954,B21D 7/024 (20130101); B21D 7/14 (20130101); Y10S 72/702 (20130101),"June 5, 1992","January 4, 1994","5,275,031",#5275031,True
6,,"08/010,843","Kariya, JP",Aisin Seiki Kabushiki Kaisha,11917095,F01L 1/024 (20130101); F01L 1/34406 (20130101); F01L 13/0047 (20130101); F01L 2810/04 (20130101); F01L 2001/34483 (20130101),"January 29, 1993","January 4, 1994","5,275,138",#5275138,True
7,,"08/015,648","Skokie, IL",Fel-Pro Incorporated,21772650,F16J 15/123 (20130101),"February 9, 1993","January 4, 1994","5,275,139",#5275139,True
8,,"07/954,015",,,25294295,A45D 29/04 (20130101),"September 30, 1992","*     January 4, 1994","5,275,181",#5275181,True
9,,"07/909,701",,,25427685,E03C 1/0404 (20130101); Y10T 137/9464 (20150401); Y10T 137/0441 (20150401),"July 7, 1992","January 4, 1994","5,275,190",#5275190,True
