,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"07/201,465",,,22745928,A47G 9/0284 (20130101); Y10S 5/907 (20130101); Y10S 5/922 (20130101); Y10T 428/24017 (20150115),"June 2, 1988","January 2, 1990","4,890,347",#4890347,True
1,,"07/255,811","Duelman, DE",Hergeth Hollingsworth GmbH,6338156,D01G 9/08 (20130101); D01G 23/02 (20130101); D01G 9/20 (20130101); D01G 19/105 (20130101); D01G 31/003 (20130101),"October 11, 1988","January 2, 1990","4,890,357",#4890357,True
2,,"07/291,557","Seattle, WA",The Boeing Company,23120791,H01R 43/20 (20130101); Y10T 29/53174 (20150115); Y10T 29/49131 (20150115); Y10T 29/53091 (20150115); Y10T 29/53209 (20150115),"December 28, 1988","January 2, 1990","4,890,382",#4890382,True
3,,"07/321,085","Port Clinton, OH",Heiges; Charles W.,23249120,A01M 31/06 (20130101),"March 9, 1989","January 2, 1990","4,890,408",#4890408,True
4,,"07/276,204",,,26758561,A01G 9/28 (20180201),"November 23, 1988","January 2, 1990","4,890,417",#4890417,True
5,,"07/354,704",,,23394564,A01D 47/00 (20130101),"May 22, 1989","January 2, 1990","4,890,447",#4890447,True
6,,"07/272,740","Tokyo, JP","Diesel Kiki Co., Ltd.",26559911,B60H 1/0075 (20130101); G05D 23/1934 (20130101),"November 17, 1988","January 2, 1990","4,890,460",#4890460,True
7,,"07/297,399",,,6288337,B21D 7/022 (20130101); B21D 11/12 (20130101); B21F 1/00 (20130101),"January 17, 1989","January 2, 1990","4,890,469",#4890469,True
8,,"07/226,204","Tokyo, JP","Hitachi, Ltd.",27459317,G01N 15/06 (20130101); G01N 21/85 (20130101); G01N 2015/0053 (20130101); G01N 2021/054 (20130101),"July 29, 1988","*     January 2, 1990","4,890,481",#4890481,True
9,,"07/147,702",,,26845155,G01M 3/042 (20130101); G08B 21/20 (20130101),"January 25, 1988","January 2, 1990","4,890,485",#4890485,True
10,,"07/245,769","Vorden, NL",Bronkhorst High-Tech B.V.,19850629,G01F 1/6888 (20130101); H01L 35/32 (20130101); G01P 13/02 (20130101); G01P 5/10 (20130101); G01F 1/6845 (20130101),"September 16, 1988","January 2, 1990","4,890,489",#4890489,True
11,,"07/320,616",IRSID,Institut de Recherches de la Siderurgie Francaise,9337122,C21B 7/24 (20130101),"April 7, 1989","January 2, 1990","4,890,503",#4890503,True
12,,"07/239,949",,,22904455,B25B 7/02 (20130101); B25B 7/10 (20130101),"September 2, 1988","January 2, 1990","4,890,519",#4890519,True
13,,"07/352,534","Highland Park, MI",Crysler Motors Corporation,23385532,B25B 13/54 (20130101); B25B 15/004 (20130101); B25B 15/008 (20130101); B25B 23/105 (20130101); B25B 23/108 (20130101),"May 15, 1989","January 2, 1990","4,890,521",#4890521,True
14,,"07/213,045","Stuttgart, DE",Robert Bosch GmbH,6334793,B60T 13/144 (20130101),"June 29, 1988","January 2, 1990","4,890,538",#4890538,True
15,,"07/303,732","Verona, WI","Carnes Company, Inc.",23173440,F04D 29/441 (20130101); F04D 29/626 (20130101); F24F 7/025 (20130101),"January 27, 1989","January 2, 1990","4,890,547",#4890547,True
16,,"06/703,380","Winchester, VA",Rubbermaid Commercial Products Inc.,24825150,A47B 21/03 (20130101); A47B 21/0314 (20130101); A47B 2021/0321 (20130101); A47B 2021/0335 (20130101); A47B 2200/0043 (20130101); A47B 2200/0046 (20130101),"February 20, 1985","January 2, 1990","4,890,561",#4890561,True
17,,"07/250,068",,,22946184,A61F 5/0123 (20130101); A61F 2005/0165 (20130101),"September 28, 1988","January 2, 1990","4,890,607",#4890607,True
18,,"07/161,214","Berkeley, CA",The Regents of the University of California,27373431,C12Q 1/005 (20130101); C12Q 1/006 (20130101),"February 17, 1988","*     January 2, 1990","4,890,620",#4890620,True
19,,"07/145,066","Philadelphia, PA","Northstar Research Institute, Ltd.",22511455,A61B 5/14528 (20130101); A61B 5/14532 (20130101); A61B 5/1459 (20130101); A61B 5/686 (20130101),"January 19, 1988","January 2, 1990","4,890,621",#4890621,True
20,,"07/171,762","Hatboro, PA","Air-Shields, Inc.",22625032,A61B 8/02 (20130101); A61B 8/0866 (20130101),"March 22, 1988","January 2, 1990","4,890,624",#4890624,True
21,,"07/306,692","Houston, TX","Mogas Industries, Inc.",26896966,F16K 5/0605 (20130101); F16K 5/0663 (20130101); Y10T 137/87113 (20150401); Y10T 137/87981 (20150401),"February 6, 1989","January 2, 1990","4,890,643",#4890643,True
22,,"07/281,053","Zurich, CH",Metacon AG,6342488,B22D 11/16 (20130101),"December 8, 1988","January 2, 1990","4,890,665",#4890665,True
23,,"07/267,869","Sunnyvale, CA","Lockheed Missiles & Space Company, Inc.",26735768,F28D 15/043 (20130101); F28D 15/046 (20130101),"November 7, 1988","January 2, 1990","4,890,668",#4890668,True
24,,"07/174,291","Syracuse, NY",Carrier Corporation,26870075,B23P 15/26 (20130101); C23C 4/18 (20130101); C23F 1/00 (20130101); F28F 13/18 (20130101),"March 28, 1988","January 2, 1990","4,890,669",#4890669,True
25,,"06/750,887","Augsburg, DE",M.A.N. Maschinenfabrik Augsburg-Nurnberg Aktiengesellschaft,6239303,F28D 9/0062 (20130101); Y10T 29/49366 (20150115); Y10T 29/49357 (20150115),"July 1, 1985","January 2, 1990","4,890,670",#4890670,True
26,,"07/223,104",,,22835058,F16M 11/08 (20130101); F16M 11/18 (20130101); F16M 11/2021 (20130101); G08B 13/1963 (20130101); Y10T 74/2063 (20150115),"July 22, 1988","January 2, 1990","4,890,713",#4890713,True
27,,"07/323,335",,,4207614,B65D 81/26 (20130101); Y10T 137/86187 (20150401); Y10S 220/917 (20130101),"March 14, 1989","January 2, 1990","4,890,764",#4890764,True
28,,"07/252,693","Richmond, VA",Robertshaw Controls Company,22957114,F01P 7/167 (20130101); G05D 23/1921 (20130101); F01P 2070/04 (20130101),"October 3, 1988","January 2, 1990","4,890,790",#4890790,True
29,,"07/260,944","Sundsvall, SE",Sunds Defibrator AB,24596889,B02C 7/11 (20130101); B02C 7/14 (20130101); D21D 1/30 (20130101); F16J 10/02 (20130101); F16C 33/10 (20130101); F16C 39/04 (20130101); F16C 32/06 (20130101),"October 21, 1988","January 2, 1990","4,890,796",#4890796,True
30,,"07/227,827","Stafa, CH",Rutishauser Data AG,4247380,B65H 39/11 (20130101); G03G 15/6538 (20130101); G06K 13/04 (20130101); B65H 2408/1121 (20130101),"August 3, 1988","January 2, 1990","4,890,826",#4890826,True
31,,"07/215,376",,,22802745,A63B 21/0724 (20130101); A63B 21/0728 (20130101); A63B 21/075 (20130101); A63B 21/00065 (20130101); A63B 21/078 (20130101),"July 5, 1988","January 2, 1990","4,890,831",#4890831,True
32,,"07/044,344","Clackamas, OR",Athletic Training Equipment Company,26721430,A63B 47/025 (20130101); A63B 69/0002 (20130101); A63B 69/406 (20130101); A63B 71/022 (20130101); A63B 2225/70 (20130101),"April 30, 1987","January 2, 1990","4,890,834",#4890834,True
33,,"07/276,917","Holland, MI",Prince Corporation,23058625,A47C 7/70 (20130101); B60N 2/793 (20180201); B60N 2/5841 (20130101); Y10T 24/4406 (20150115),"November 25, 1988","January 2, 1990","4,890,883",#4890883,True
34,,"07/195,233",3M,Minnesota Mining and Manufacturing Company,22720573,G02B 6/32 (20130101),"May 18, 1988","January 2, 1990","4,890,897",#4890897,True
35,,"07/137,486","Los Angeles, CA",Hughes Aircraft Company,22477644,G02B 27/1006 (20130101); G02B 27/126 (20130101); G02B 27/144 (20130101),"December 22, 1987","January 2, 1990","4,890,901",#4890901,True
36,,"07/232,751","Orangeburg, NY","Minigrip, Inc.",22874409,A44B 19/301 (20130101); A44B 19/32 (20130101); Y10T 24/2516 (20150115); Y10T 24/2532 (20150115); Y10T 24/2596 (20150115),"August 16, 1988","January 2, 1990","4,890,935",#4890935,True
37,,"07/262,996","Wilmington, DE",E. I. Du Pont De Nemours and Company,22999946,B04B 9/08 (20130101); F16D 1/092 (20130101); B04B 2009/085 (20130101); Y10T 403/1641 (20150115); Y10T 403/18 (20150115); F16B 2200/403 (20180801),"October 26, 1988","January 2, 1990","4,890,947",#4890947,True
38,,"06/442,810","Tokyo, JP","The Japan Steel Works, Ltd.",16143137,B29B 9/06 (20130101); B29C 48/92 (20190201); B29C 48/265 (20190201); B29C 48/2665 (20190201); B29C 48/37 (20190201); B29C 48/387 (20190201); B29C 48/52 (20190201); B29C 2948/92952 (20190201); B29C 2948/924 (20190201); B29C 48/04 (20190201); B29C 2948/92019 (20190201); B29C 2948/92314 (20190201); B29C 2948/92571 (20190201); B29C 2948/9258 (20190201); B29C 2948/92809 (20190201); B29C 2948/92885 (20190201); B29C 2037/96 (20130101),"November 18, 1982","January 2, 1990","4,890,996",#4890996,True
39,,"07/242,498",,,22915008,A63H 33/00 (20130101); A63H 33/22 (20130101); F21V 21/32 (20130101); F21L 2/00 (20130101),"September 12, 1988","January 2, 1990","4,891,032",#4891032,True
40,,"07/202,899","Tokyo, JP",Honda Giken Kogyo Kabushiki Kaisha,26427852,F16G 5/16 (20130101),"June 6, 1988","January 2, 1990","4,891,039",#4891039,True
41,,"07/221,523",JP,Mitsuboshi Belting Ltd.,14709215,D02G 3/447 (20130101); D03D 15/08 (20130101); F16G 5/08 (20130101); B65G 15/34 (20130101); D02G 3/32 (20130101); D03D 3/04 (20130101); B65G 2201/06 (20130101),"July 20, 1988","January 2, 1990","4,891,040",#4891040,True
42,,"07/261,972","Tokyo, JPMasumoto; Tsuyoshi","Teikoku Piston Ring Co., Ltd.",27526691,B22F 1/0007 (20130101); B22F 9/082 (20130101); B22F 9/10 (20130101); C08K 3/08 (20130101); C08K 3/40 (20130101); C09C 1/28 (20130101); C09C 1/62 (20130101); C09C 1/622 (20130101); C09C 3/045 (20130101); C22C 1/0416 (20130101); C22C 1/0433 (20130101); C22C 33/02 (20130101); B22F 1/0055 (20130101); C09D 7/70 (20180101); C09D 7/61 (20180101); Y10T 428/2993 (20150115); B22F 2009/084 (20130101); B22F 2998/00 (20130101); B22F 2999/00 (20130101); C01P 2002/02 (20130101); C01P 2002/70 (20130101); C01P 2004/03 (20130101); C01P 2004/04 (20130101); C01P 2004/32 (20130101); C01P 2004/54 (20130101); C01P 2004/61 (20130101); C01P 2004/62 (20130101); C01P 2006/12 (20130101); C01P 2006/90 (20130101); Y10S 75/954 (20130101); Y10T 428/2982 (20150115); C08K 2201/016 (20130101); B22F 2998/00 (20130101); B22F 1/0055 (20130101); B22F 2999/00 (20130101); B22F 9/082 (20130101); B22F 2201/02 (20130101),"October 24, 1988","January 2, 1990","4,891,068",#4891068,True
43,,"07/310,984","Florham Park, NJ",Exxon Research and Engineering Company,26977683,B01J 21/12 (20130101); B01J 23/30 (20130101),"February 15, 1989","January 2, 1990","4,891,127",#4891127,True
44,,"06/942,558","Wilmington, DE",E. I. Du Pont de Nemours and Company,25478273,C01B 17/466 (20130101),"December 16, 1986","January 2, 1990","4,891,196",#4891196,True
45,,"06/894,609","White Plains, NY",General Foods Corporation,25403312,A23L 2/39 (20130101); C01B 25/322 (20130101); A23L 33/16 (20160801),"August 7, 1986","January 2, 1990","4,891,198",#4891198,True
46,,"07/250,020","Madison, WI",Oscar Mayer Foods Corporation,26862590,A22C 7/0046 (20130101),"September 27, 1988","January 2, 1990","4,891,237",#4891237,True
47,,"07/240,932","Louisville, CO",Storage Technology Corporation,22908520,B41J 29/00 (20130101); B41M 3/14 (20130101); G06K 1/125 (20130101),"September 6, 1988","January 2, 1990","4,891,240",#4891240,True
48,,"07/250,591","Washington, DC",The United States of America as represented by the United States,22948377,G01P 15/036 (20130101); H01L 21/30608 (20130101); H01H 2001/0047 (20130101); Y10T 428/24322 (20150115); Y10T 428/24273 (20150115),"September 29, 1988","January 2, 1990","4,891,255",#4891255,True
49,,"07/263,393","Chardon, OH",Metal Coatings International Inc.,43433307,C23C 22/74 (20130101); Y10T 428/3154 (20150401); Y10T 428/31692 (20150401); Y10T 428/31678 (20150401); Y10T 428/12743 (20150115),"October 27, 1988","January 2, 1990","4,891,268",#4891268,True
50,,"07/216,048","Tokyo, JP","Hitachi Metals, Ltd.",26494461,G03G 9/09708 (20130101); Y10S 430/104 (20130101),"July 7, 1988","January 2, 1990","4,891,294",#4891294,True
51,,"07/146,574","Indianapolis, IN",Boehringer Manheim Corporation,22518014,G01N 33/54306 (20130101); G01N 33/54366 (20130101); G01N 33/54386 (20130101); G01N 33/6857 (20130101); B01L 3/5023 (20130101); B01L 2300/0825 (20130101); B01L 2400/0677 (20130101); Y10S 435/969 (20130101),"January 21, 1988","January 2, 1990","4,891,313",#4891313,True
52,,"06/742,139",NL,Unilever Patent Holdings B.V.,10517943,C12N 15/66 (20130101); C07K 14/43 (20130101); C12N 15/70 (20130101),"June 7, 1985","January 2, 1990","4,891,316",#4891316,True
53,,"07/206,896","Tokyo, JP","Hitachi, Ltd.",14165693,H01L 21/76202 (20130101); H01L 21/823864 (20130101); H01L 27/0928 (20130101); H01L 29/78 (20130101),"June 8, 1988","January 2, 1990","4,891,326",#4891326,True
