,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"09/618,727",,,24478889,A47K 3/122 (20130101); A61G 7/1003 (20130101); A61G 7/1034 (20130101); A61G 7/1059 (20130101); A61G 7/1067 (20130101),"July 18, 2000","January 1, 2002","6,334,225",#6334225,True
1,,"09/536,630","Auburn Hills, MI",Siemens Automotive Corporation,26845811,F02M 35/10144 (20130101); F02M 35/10216 (20130101); F02M 55/025 (20130101); F02M 69/465 (20130101); F16L 3/13 (20130101); Y10T 24/44034 (20150115); F02M 2200/853 (20130101),"March 28, 2000","January 1, 2002","6,334,242",#6334242,True
2,,"09/897,957","Hamburg, DE",Hauni Maschinenbau AG,7647318,A24D 3/0204 (20130101),"July 5, 2001","January 1, 2002","6,334,243",#6334243,True
3,,"09/514,290","Notts, GB",Rock Mechanics Technology Limited,10848830,E21F 17/185 (20130101); G01B 5/30 (20130101),"February 28, 2000","January 1, 2002","6,334,260",#6334260,True
4,,"09/511,896","Suwon, KR","Samsung Electronics Co., Ltd.",19575647,F25B 21/02 (20130101); H01L 35/30 (20130101); H01L 35/32 (20130101); Y02P 80/156 (20151101),"February 23, 2000","January 1, 2002","6,334,311",#6334311,True
5,,"09/743,024","Saitama, JP",Zexel Valeo Climate Control Corporation,14209441,F25B 9/008 (20130101); F25B 41/062 (20130101); F25B 49/005 (20130101); F25B 40/00 (20130101); F25B 2309/061 (20130101); F25B 2341/063 (20130101); F25B 2400/0411 (20130101),"January 4, 2001","January 1, 2002","6,334,324",#6334324,True
6,,"09/537,509","Tokyo, JP",Calsonic Kansei Corporation,26429625,F25B 39/04 (20130101); F25B 40/02 (20130101); F25B 2339/0441 (20130101); F25B 2339/0446 (20130101); F25B 2500/01 (20130101),"March 29, 2000","January 1, 2002","6,334,333",#6334333,True
7,,"09/285,840","Hsinchu, TW",Lite-On Technology Corp.,23095927,F16F 15/06 (20130101); G11B 19/2009 (20130101); G11B 25/043 (20130101); G11B 33/08 (20130101); Y10T 74/2131 (20150115),"April 2, 1999","January 1, 2002","6,334,372",#6334372,True
8,,"09/351,333","Aachen, DE",FEV Motorentechnik GmbH,7873634,F02D 13/0203 (20130101); F02D 13/0234 (20130101); F02D 13/0253 (20130101); F02D 41/008 (20130101); F02D 41/024 (20130101); F02D 41/062 (20130101); F02D 41/3058 (20130101); F02N 19/004 (20130101); F02D 13/0215 (20130101); F02D 13/028 (20130101); F02D 41/0087 (20130101); F02D 2013/0292 (20130101); Y02T 10/18 (20130101); Y02T 10/26 (20130101),"July 12, 1999","January 1, 2002","6,334,417",#6334417,True
9,,"09/912,651","Saskatoon, CA",Flexi-Coil Ltd.,4162975,A01B 61/04 (20130101); A01B 69/024 (20130101),"July 26, 2001","January 1, 2002","6,334,492",#6334492,True
10,,"09/473,878","Kungsor, SE",Car-O-Liner AB,23881390,B25H 1/0028 (20130101),"December 29, 1999","January 1, 2002","6,334,595",#6334595,True
11,,"08/587,228",,,24348925,A63B 21/0087 (20130101); A63B 21/023 (20130101); A63B 21/05 (20130101); A63B 21/0552 (20130101); A63B 21/159 (20130101); A63B 21/00072 (20130101); A63B 21/1609 (20151001); A63B 21/4047 (20151001); A63B 21/0421 (20130101); A63B 21/055 (20130101); A63B 2071/0018 (20130101); A63B 2071/027 (20130101); A63B 2208/0233 (20130101); Y10S 482/904 (20130101),"January 16, 1996","January 1, 2002","6,334,624",#6334624,True
12,,"09/635,916","Tokyo, JP",Canon Kabushiki Kaisha,27284320,B41J 2/195 (20130101); B41J 2/2114 (20130101); B41J 3/36 (20130101),"August 10, 2000","January 1, 2002","6,334,666",#6334666,True
13,,"09/568,698","Tokyo, JP",Seiko Epson Corporation,15124763,G03B 21/10 (20130101); H04N 9/3141 (20130101); Y10S 248/921 (20130101); Y10S 248/922 (20130101); Y10S 248/92 (20130101),"May 11, 2000","January 1, 2002","6,334,687",#6334687,True
14,,"09/284,213",FR,Valeo Vision,9510260,B60Q 1/14 (20130101); F21S 41/675 (20180101); F21V 17/02 (20130101),"April 8, 1999","January 1, 2002","6,334,702",#6334702,True
15,,"09/618,345",,,24477316,F16B 5/065 (20130101); H01L 23/4093 (20130101); F16B 19/02 (20130101); H01L 2924/0002 (20130101); H01L 2924/0002 (20130101); H01L 2924/00 (20130101); Y10T 24/44026 (20150115); Y10T 24/42 (20150115),"July 18, 2000","January 1, 2002","6,334,750",#6334750,True
16,,"09/429,966","Lenexa, KS",Motionwatch L.L.C.,21834053,A61B 5/1121 (20130101); A61B 5/1126 (20130101); A61B 5/4528 (20130101),"October 29, 1999","January 1, 2002","6,334,852",#6334852,True
17,,"09/272,336","Kobe, JP",Kabushiki Kaish Kobe Seiko Sho,26441108,C22C 9/06 (20130101),"March 19, 1999","January 1, 2002","6,334,915",#6334915,True
18,,"09/337,467","Hirschhorn, DE",Meto International GmbH,7871548,B65C 1/02 (20130101); B65C 9/1869 (20130101); G08B 13/244 (20130101); Y10T 156/1705 (20150115),"June 21, 1999","January 1, 2002","6,334,921",#6334921,True
19,,"09/398,139","Heidenheim, DE",Voith Sulzer Papiertechnik Patent GmbH,7881430,D21F 3/10 (20130101); Y10S 277/906 (20130101),"September 17, 1999","January 1, 2002","6,334,934",#6334934,True
20,,"09/353,567","Des Plaines, IL","Littelfuse, Inc.",26901190,H01C 7/1006 (20130101); H01C 7/112 (20130101); C01G 9/006 (20130101); C01G 9/02 (20130101); C04B 35/453 (20130101); C04B 35/6261 (20130101); C04B 35/6263 (20130101); C04B 35/6264 (20130101); C04B 35/62675 (20130101); C04B 2235/3291 (20130101); C04B 2235/3293 (20130101); C04B 2235/3294 (20130101); C04B 2235/3298 (20130101); C04B 2235/3409 (20130101); C04B 2235/3418 (20130101); C04B 2235/443 (20130101); C04B 2235/5436 (20130101); C04B 2235/5445 (20130101); C01P 2006/22 (20130101); C01P 2006/40 (20130101); C04B 2235/3206 (20130101); C04B 2235/3217 (20130101); C04B 2235/3232 (20130101); C04B 2235/3241 (20130101); C04B 2235/3262 (20130101); C04B 2235/3275 (20130101); C04B 2235/3279 (20130101); C04B 2235/3284 (20130101),"July 14, 1999","January 1, 2002","6,334,964",#6334964,True
21,,"09/757,581","Hanau, DE",Degussa AG,7895781,B01D 53/32 (20130101); B01D 53/9418 (20130101); B01D 53/9431 (20130101); F01N 3/2066 (20130101); F01N 3/2073 (20130101); F01N 13/009 (20140601); B01D 2251/2062 (20130101); B01D 2255/1021 (20130101); B01D 2255/1023 (20130101); B01D 2255/1025 (20130101); B01D 2255/1028 (20130101); B01D 2255/2042 (20130101); B01D 2255/2065 (20130101); B01D 2255/20738 (20130101); B01D 2255/20761 (20130101); B01D 2255/50 (20130101); F01N 2240/25 (20130101); F01N 2240/28 (20130101); F01N 2610/02 (20130101); Y02C 20/10 (20130101); Y10S 423/10 (20130101); Y02T 10/24 (20130101),"January 11, 2001","January 1, 2002","6,334,986",#6334986,True
