,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"06/836,859","Buffalo, NY",Trico Products Corp.,25272901,B60S 1/3406 (20130101),"March 6, 1986","January 5, 1988","4,716,612",#4716612,True
1,,"06/902,669",,,25416209,A47G 21/10 (20130101),"November 10, 1986","January 5, 1988","4,716,627",#4716627,True
2,,"07/021,127","Pittsford, NY",Voplex Corporation,21802486,B60R 13/0206 (20130101); F16B 5/065 (20130101); F16B 5/0657 (20130101); Y10T 24/306 (20150115); Y10T 24/30 (20150115); Y10T 24/44778 (20150115); Y10T 24/308 (20150115),"March 3, 1987","January 5, 1988","4,716,632",#4716632,True
3,,"06/387,383",,,23529632,A01J 5/017 (20130101); Y10S 24/51 (20130101); Y10T 24/45461 (20150115); Y10T 24/45775 (20150115); Y10T 24/45251 (20150115),"June 11, 1982","January 5, 1988","4,716,635",#4716635,True
4,,"06/756,235",,,25042586,G09F 3/20 (20130101),"July 18, 1985","January 5, 1988","4,716,669",#4716669,True
5,,"06/856,653",,,25324175,A01G 9/029 (20180201); A01G 23/04 (20130101),"April 28, 1986","January 5, 1988","4,716,680",#4716680,True
6,,"06/744,753",,,3524429,B24B 7/12 (20130101); B24B 9/102 (20130101); B24B 9/10 (20130101),"June 14, 1985","January 5, 1988","4,716,686",#4716686,True
7,,"06/858,394","Moenchengladbach, DE",W. Schlafhorst & Co.,6269633,D01H 4/50 (20130101),"May 1, 1986","January 5, 1988","4,716,718",#4716718,True
8,,"06/797,805","London, GB2",Rolls-Royce plc,10570910,F02C 7/20 (20130101); F01D 25/26 (20130101),"November 13, 1985","January 5, 1988","4,716,721",#4716721,True
9,,"06/895,867","Paris, FR",Societe Nationale d'Etude et de Construction de Moteurs d'Aviation,9322222,H05K 7/1421 (20130101); H05K 7/20645 (20130101); Y10S 439/928 (20130101),"August 12, 1986","January 5, 1988","4,716,722",#4716722,True
10,,"06/838,774",,,25278013,F01C 20/14 (20130101); F01C 20/02 (20130101),"March 12, 1986","January 5, 1988","4,716,726",#4716726,True
