,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"06/442,462","Tokyo, JP","Nippon Notion Kogyo Co., Ltd.",16109344,A44B 17/0029 (20130101); A44B 17/0035 (20130101); Y10T 24/4556 (20150115); Y10T 24/45571 (20150115); Y10T 24/45927 (20150115); Y10T 24/45874 (20150115),"November 17, 1982","January 7, 1986","4,562,624",#4562624,True
1,,"06/646,679","New York, NY",U.S. Philips Corporation,19843853,H01G 4/30 (20130101); H01G 13/00 (20130101); Y10T 225/12 (20150401); Y10T 225/321 (20150401); Y10T 29/4979 (20150115); Y10T 29/435 (20150115); Y10T 29/49787 (20150115); Y10T 29/49789 (20150115); Y10T 225/329 (20150401),"September 4, 1984","January 7, 1986","4,562,628",#4562628,True
2,,"06/440,004",,,23747031,A47G 1/065 (20130101); A47G 1/143 (20130101); Y10T 16/535 (20150115); Y10T 16/532 (20150115); Y10T 403/606 (20150115); Y10T 16/5385 (20150115),"November 8, 1982","January 7, 1986","4,562,656",#4562656,True
3,,"06/435,063",,,23726809,E04B 1/7604 (20130101); Y10S 261/26 (20130101),"October 18, 1982","January 7, 1986","4,562,674",#4562674,True
4,,"06/203,154","Kariya, JP",Aisin Seiki Kabushiki Kaisha,15395527,B60T 13/57 (20130101),"November 3, 1980","January 7, 1986","4,562,696",#4562696,True
5,,"06/621,372","Tokyo, JP","Hitachi, Ltd.",14464657,F25B 13/00 (20130101); F25B 41/00 (20130101); F25B 2600/2509 (20130101); F25B 2400/23 (20130101); F25B 2400/13 (20130101),"June 18, 1984","January 7, 1986","4,562,700",#4562700,True
6,,"06/545,389","Courbevoie, FR",Neiman S.A.,9270395,B60R 25/02 (20130101); Y10T 70/65 (20150401); Y10T 70/5956 (20150401),"September 28, 1983","January 7, 1986","4,562,710",#4562710,True
7,,"06/611,415","Schweinfurt, DE",SACHS-Systemtechnik GmbH,6199628,G07C 9/00738 (20130101); Y10T 70/7057 (20150401); Y10T 70/7904 (20150401),"May 17, 1984","January 7, 1986","4,562,711",#4562711,True
8,,"06/568,615",,,24272019,A61M 5/1456 (20130101); Y10T 74/1529 (20150115); Y10T 74/15 (20150115); A61M 5/1458 (20130101),"January 6, 1984","January 7, 1986","4,562,751",#4562751,True
9,,"06/427,720","Stone Park, IL",Vogel Tool & Die Corp.,23695980,B23D 21/02 (20130101); B23D 21/14 (20130101); Y10T 83/9444 (20150401); Y10S 83/917 (20130101),"September 29, 1982","January 7, 1986","4,562,760",#4562760,True
